County_Name,pct_rural
Elbert,70
Emanuel,66
Evans,61
Fannin,100
Fayette,18
Floyd,36
Forsyth,9
Franklin,88
Fulton,1
Gilmer,87
Glascock,100
Glynn,20
Gordon,51
Grady,62
Greene,82
Gwinnett,0
Habersham,58
Hall,20
Hancock,61
Haralson,77
Harris,96
Hart,74
Heard,100
Henry,13
Houston,9
Irwin,64
Jackson,60
Jasper,81
Jeff Davis,69
Jefferson,80
Jenkins,66
Johnson,65
Jones,67
Lamar,60
Lanier,71
Laurens,56
Lee,36
Liberty,23
Lincoln,100
Long,81
Lowndes,27
Lumpkin,83
McDuffie,60
McIntosh,74
Macon,53
Madison,91
Marion,100
Meriwether,83
Miller,100
Mitchell,54
Monroe,80
Montgomery,98
Morgan,75
Murray,70
Muscogee,2
Newton,31
Oconee,50
Oglethorpe,99
Paulding,20
Peach,38
Pickens,73
Pierce,79
Pike,98
Polk,51
Pulaski,66
Putnam,80
Quitman,73
Rabun,79
Randolph,50
Richmond,9
Rockdale,14
Schley,100
Screven,78
Seminole,68
Spalding,41
Stephens,58
Stewart,100
Sumter,41
Talbot,93
Taliaferro,100
Tattnall,68
Taylor,100
Telfair,46
Terrell,52
Thomas,46
Tift,40
Toombs,51
Towns,100
Treutlen,58
Troup,44
Turner,49
Twiggs,100
Union,100
Upson,46
Walker,43
Walton,42
Ware,29
Warren,100
Washington,65
Wayne,57
Webster,100
Wheeler,100
White,83
Whitfield,29
Wilcox,100
Wilkes,67
Wilkinson,100
Worth,69
Hawaii,37
Honolulu,0
Kalawao,100
Kauai,12
Maui,14
Ada,5
Adams,100
Bannock,15
Bear Lake,100
Benewah,71
Bingham,56
Blaine,32
Boise,100
Bonner,72
Bonneville,12
Boundary,76
Butte,100
Camas,100
Canyon,19
Caribou,59
Cassia,51
Clark,100
Clearwater,58
Custer,100
Elmore,26
Franklin,66
Fremont,72
Gem,45
Gooding,58
Idaho,80
Jefferson,66
Jerome,51
Kootenai,24
Latah,34
Lemhi,61
Lewis,100
Lincoln,100
Madison,28
Minidoka,44
Nez Perce,19
Oneida,100
Owyhee,77
Payette,42
Power,42
Shoshone,56
Teton,100
Twin Falls,27
Valley,100
Washington,45
Adams,32
Alexander,61
Bond,60
Boone,19
Brown,41
Bureau,57
Calhoun,100
Carroll,81
Cass,52
Champaign,12
Christian,43
Clark,59
Clay,64
Clinton,48
Coles,24
Cook,0
Crawford,60
Cumberland,100
DeKalb,20
De Witt,48
Douglas,61
DuPage,0
Edgar,51
Edwards,100
Effingham,59
Fayette,66
Ford,41
Franklin,48
Fulton,60
Gallatin,100
Greene,70
Grundy,24
Hamilton,68
Hancock,70
Hardin,100
Henderson,99
Henry,50
Iroquois,71
Jackson,37
Jasper,69
Jefferson,58
Jersey,60
Jo Daviess,72
Johnson,100
Kane,3
Kankakee,24
Kendall,10
Knox,24
Lake,1
