County_Name,mental_health_provider
Chattooga,3099
Cherokee,1135
Clarke,373
Clay,0
Clayton,1516
Clinch,0
Cobb,590
Coffee,4788
Colquitt,1824
Columbia,1275
Cook,3432
Coweta,1444
Crawford,0
Crisp,2511
Dade,4057
Dawson,784
Decatur,1898
DeKalb,342
Dodge,3451
Dooly,0
Dougherty,748
Douglas,1031
Early,1464
Echols,0
Effingham,2221
Elbert,2731
Emanuel,870
Evans,0
Fannin,1367
Fayette,540
Floyd,796
Forsyth,1727
Franklin,1354
Fulton,424
Gilmer,1340
Glascock,0
Glynn,754
Gordon,1923
Grady,6187
Greene,3540
Gwinnett,926
Habersham,2522
Hall,1210
Hancock,4174
Haralson,1846
Harris,4925
Hart,4350
Heard,3960
Henry,698
Houston,707
Irwin,4699
Jackson,2134
Jasper,2808
Jeff Davis,15029
Jefferson,0
Jenkins,8683
Johnson,9708
Jones,3577
Lamar,1357
Lanier,10340
Laurens,473
Lee,4961
Liberty,245
Lincoln,2638
Long,4750
Lowndes,600
Lumpkin,1318
McDuffie,1538
McIntosh,623
Macon,6572
Madison,9883
Marion,0
Meriwether,1317
Miller,5686
Mitchell,229
Monroe,2752
Montgomery,1532
Morgan,3771
Murray,7984
Muscogee,322
Newton,1053
Oconee,491
Oglethorpe,7527
Paulding,2025
Peach,1137
Pickens,1454
Pierce,3878
Pike,2329
Polk,1370
Pulaski,5535
Putnam,2423
Quitman,0
Rabun,767
Randolph,976
Richmond,329
Rockdale,708
Schley,0
Screven,2788
Seminole,4158
Spalding,796
Stephens,1446
Stewart,6199
Sumter,504
Talbot,3136
Taliaferro,0
Tattnall,6348
Taylor,8039
Telfair,0
Terrell,0
Thomas,483
Tift,1268
Toombs,1921
Towns,2963
Treutlen,6809
Troup,796
Turner,7912
Twiggs,0
Union,1412
Upson,3277
Walker,2479
Walton,1417
Ware,673
Warren,2626
Washington,4077
Wayne,4258
Webster,0
Wheeler,0
White,1303
Whitfield,929
Wilcox,8812
Wilkes,4938
Wilkinson,4518
Worth,10150
Hawaii,330
Honolulu,394
Kalawao,3
Kauai,484
Maui,575
Ada,345
Adams,1417
Bannock,252
Bear Lake,1513
Benewah,419
Bingham,746
Blaine,628
Boise,1909
Bonner,476
Bonneville,347
Boundary,747
Butte,2611
Camas,0
Canyon,637
Caribou,2353
Cassia,852
Clark,35
Clearwater,876
Custer,4280
Elmore,717
Franklin,1525
Fremont,2195
Gem,1037
Gooding,800
Idaho,1180
Jefferson,4206
Jerome,4803
Kootenai,523
Latah,647
Lemhi,796
Lewis,1287
Lincoln,5360
Madison,666
Minidoka,3471
Nez Perce,396
Oneida,748
Owyhee,2923
Payette,1071
Power,2589
Shoshone,800
Teton,895
Twin Falls,388
Valley,552
