County_Name,pct_uninsured
Effingham,13
Elbert,17
Emanuel,15
Evans,17
Fannin,18
Fayette,10
Floyd,17
Forsyth,11
Franklin,18
Fulton,13
Gilmer,22
Glascock,14
Glynn,17
Gordon,21
Grady,20
Greene,20
Gwinnett,18
Habersham,19
Hall,21
Hancock,15
Haralson,15
Harris,10
Hart,18
Heard,15
Henry,12
Houston,13
Irwin,14
Jackson,15
Jasper,17
Jeff Davis,18
Jefferson,16
Jenkins,15
Johnson,16
Jones,12
Lamar,14
Lanier,16
Laurens,15
Lee,12
Liberty,12
Lincoln,16
Long,16
Lowndes,17
Lumpkin,19
McDuffie,15
McIntosh,16
Macon,19
Madison,18
Marion,17
Meriwether,16
Miller,16
Mitchell,17
Monroe,13
Montgomery,16
Morgan,15
Murray,20
Muscogee,13
Newton,14
Oconee,11
Oglethorpe,18
Paulding,12
Peach,17
Pickens,17
Pierce,15
Pike,14
Polk,19
Pulaski,15
Putnam,18
Quitman,17
Rabun,21
Randolph,15
Richmond,14
Rockdale,15
Schley,15
Screven,16
Seminole,16
Spalding,15
Stephens,15
Stewart,17
Sumter,17
Talbot,15
Taliaferro,19
Tattnall,18
Taylor,15
Telfair,16
Terrell,18
Thomas,16
Tift,17
Toombs,18
Towns,17
Treutlen,16
Troup,14
Turner,18
Twiggs,17
Union,18
Upson,13
Walker,15
Walton,13
Ware,15
Warren,15
Washington,15
Wayne,14
Webster,16
Wheeler,15
White,17
Whitfield,23
Wilcox,17
Wilkes,17
Wilkinson,13
Worth,17
Hawaii,6
Honolulu,4
Kalawao,
Kauai,4
Maui,5
Ada,8
Adams,14
Bannock,10
Bear Lake,10
Benewah,14
Bingham,14
Blaine,17
Boise,13
Bonner,13
Bonneville,9
Boundary,18
Butte,12
Camas,17
Canyon,14
Caribou,9
Cassia,15
Clark,26
Clearwater,12
Custer,13
Elmore,13
Franklin,11
Fremont,14
Gem,14
Gooding,19
Idaho,15
Jefferson,12
Jerome,20
Kootenai,10
Latah,9
Lemhi,12
Lewis,14
Lincoln,17
Madison,8
Minidoka,17
Nez Perce,10
Oneida,11
Owyhee,23
Payette,14
Power,16
Shoshone,13
Teton,16
Twin Falls,13
Valley,11
Washington,16
Adams,5
Alexander,6
Bond,6
Boone,7
Brown,3
Bureau,6
Calhoun,5
Carroll,6
Cass,8
Champaign,6
Christian,6
Clark,5
Clay,6
Clinton,4
Coles,6
Cook,9
Crawford,5
Cumberland,6
DeKalb,6
De Witt,5
Douglas,9
DuPage,6
Edgar,6
Edwards,5
Effingham,5
Fayette,7
Ford,6
Franklin,6
Fulton,6
Gallatin,6
Greene,6
Grundy,4
Hamilton,5
Hancock,5
Hardin,7
Henderson,7
Henry,6
Iroquois,7
Jackson,7
Jasper,5
Jefferson,5
Jersey,5
Jo Daviess,7
Johnson,5
Kane,9
Kankakee,6
Kendall,5
Knox,5
Lake,7
LaSalle,5
Lawrence,6
Lee,5
Livingston,5
Logan,5
McDonough,7
McHenry,5
McLean,5
Macon,5
Macoupin,5
Madison,4
Marion,6
Marshall,5
Mason,6
Massac,6
Menard,5
