County_Name,personal_income_per_capita
Wakulla,37026
Walton,59728
Washington,29414
Appling,33268
Atkinson,30511
Bacon,33080
Baker,38666
Baldwin,33203
Banks,36276
Barrow,36898
Bartow,38298
Ben Hill,31436
Berrien,31535
Bibb,41709
Bleckley,33672
Brantley,27413
Brooks,34944
Bryan,52456
Bulloch,32382
Burke,35524
Butts,34297
Calhoun,24638
Camden,36113
Candler,31385
Carroll,38571
Catoosa,35158
Charlton,24976
Chatham,47563
Chattahoochee,31115
Chattooga,30946
Cherokee,51137
Clarke,33970
Clay,31520
Clayton,28020
Clinch,37548
Cobb,57162
Coffee,32644
Colquitt,32526
Columbia,49473
Cook,32524
Coweta,46438
Crawford,33784
Crisp,32540
Dade,35640
Dawson,45201
Decatur,36150
DeKalb,50871
Dodge,30682
Dooly,28297
Dougherty,34744
Douglas,35230
Early,38945
Echols,27880
Effingham,41942
Elbert,35448
Emanuel,32187
Evans,35212
Fannin,35727
Fayette,63515
Floyd,38524
Forsyth,62580
Franklin,36672
Fulton,84386
Gilmer,35419
Glascock,33931
Glynn,46073
Gordon,36947
Grady,34899
Greene,55396
Gwinnett,41458
Habersham,33925
Hall,43701
Hancock,29917
Haralson,36508
Harris,47469
Hart,38125
Heard,31144
Henry,39184
Houston,42625
Irwin,32824
Jackson,42211
Jasper,40606
Jeff Davis,29943
Jefferson,34034
Jenkins,29250
Johnson,26195
Jones,37618
Lamar,33079
Lanier,27561
Laurens,37372
Lee,47258
Liberty,35805
Lincoln,37333
Long,27071
Lowndes,37443
Lumpkin,37427
McDuffie,36982
McIntosh,29519
Macon,31028
Madison,36557
Marion,29333
Meriwether,34847
Miller,40826
Mitchell,35069
Monroe,44790
Montgomery,29408
Morgan,50541
Murray,29968
Muscogee,44149
Newton,33750
Oconee,66740
Oglethorpe,37709
Paulding,37727
Peach,38066
Pickens,47887
Pierce,36065
Pike,39851
Polk,32368
Pulaski,30358
Putnam,41839
Quitman,30902
Rabun,41128
Randolph,33238
Richmond,38196
Rockdale,35244
Schley,30931
Screven,35010
Seminole,40217
Spalding,34772
Stephens,38915
Stewart,22771
Sumter,35847
Talbot,34504
Taliaferro,33927
Tattnall,28406
Taylor,30141
Telfair,20923
Terrell,40325
Thomas,44355
Tift,37805
Toombs,35517
Towns,37858
Treutlen,30119
Troup,36476
Turner,34396
Twiggs,39530
Union,36581
Upson,35133
Walker,32826
Walton,40458
Ware,33906
Warren,34598
Washington,35296
Wayne,31954
Webster,33109
Wheeler,19631
White,34961
Whitfield,38752
Wilcox,26712
Wilkes,39472
Wilkinson,35204
Worth,34380
Hawaii,42449
Honolulu,59608
Kalawao,
Kauai,49416
Maui,49040
Ada,52958
Adams,37452
Bannock,38160
Bear Lake,38493
Benewah,37383
Bingham,36335
Blaine,113780
Boise,43392
Bonner,41209
Bonneville,48287
Boundary,36934
Butte,38961
Camas,38600
Canyon,32680
Caribou,39146
Cassia,45220
Clark,39408
Clearwater,34506
Custer,43185
Elmore,36855
Franklin,36064
Fremont,36908
Gem,37796
Gooding,52875
Idaho,35122
Jefferson,34900
Jerome,38184
Kootenai,44987
Latah,41341
Lemhi,41565
Lewis,47267
Lincoln,34821
Madison,26407
Minidoka,38159
Nez Perce,44397
Oneida,35234
Owyhee,33372
Payette,38933
Power,36667
Shoshone,35537
Teton,39858
Twin Falls,39623
Valley,49630
Washington,36225
Adams,46886
Alexander,34713
Bond,37653
Boone,47437
Brown,35166
Bureau,43931
Calhoun,42511
Carroll,42399
Cass,42649
Champaign,45328
Christian,41724
Clark,43012
Clay,40351
Clinton,48253
Coles,40995
Cook,62205
Crawford,48332
Cumberland,43778
DeKalb,40929
De Witt,47205
Douglas,51537
DuPage,72889
Edgar,42184
Edwards,40331
Effingham,50599
Fayette,35456
Ford,52879
Franklin,37355
Fulton,38361
Gallatin,44602
Greene,36912
Grundy,51657
Hamilton,43349
Hancock,46081
Hardin,37155
Henderson,41951
Henry,45072
Iroquois,43258
Jackson,37284
Jasper,45961
Jefferson,39581
Jersey,41522
Jo Daviess,49061
Johnson,35956
Kane,51333
Kankakee,41290
Kendall,49033
Knox,39471
Lake,78559
LaSalle,44632
Lawrence,29911
Lee,41788
Livingston,44775
Logan,38339
McDonough,38692
McHenry,55720
McLean,49180
Macon,48214
Macoupin,41607
Madison,46890
Marion,43059
Marshall,46015
Mason,42510
Massac,38360
Menard,47233
Mercer,45046
Monroe,58686
Montgomery,37717
Morgan,41359
Moultrie,62718
Ogle,46755
Peoria,51135
Perry,38369
Piatt,54258
Pike,42768
Pope,30306
Pulaski,36146
Putnam,58869
Randolph,36905
Richland,42555
Rock Island,44802
St. Clair,45061
Saline,39687
Sangamon,48891
Schuyler,44200
Scott,42720
Shelby,41512
Stark,42877
Stephenson,42722
Tazewell,47862
Union,42760
Vermilion,39481
Wabash,43571
Warren,41274
Washington,51144
Wayne,41164
White,49605
Whiteside,44016
Will,52953
Williamson,44509
Winnebago,43742
Woodford,52928
Adams,39167
Allen,46288
Bartholomew,49922
Benton,42775
Blackford,37677
Boone,73531
Brown,46785
Carroll,44201
Cass,38788
Clark,43763
Clay,38615
Clinton,39172
Crawford,33483
Daviess,42064
Dearborn,47454
Decatur,42733
DeKalb,44069
Delaware,37201
Dubois,56488
Elkhart,46816
Fayette,40939
Floyd,55480
Fountain,41010
Franklin,46629
Fulton,41437
Gibson,45385
Grant,40444
Greene,39840
Hamilton,74717
Hancock,50422
Harrison,41862
Hendricks,49641
Henry,38336
Howard,41842
Huntington,42292
Jackson,42722
Jasper,43293
Jay,39321
Jefferson,41981
Jennings,38959
Johnson,48332
Knox,44626
Kosciusko,47799
LaGrange,42146
Lake,45172
LaPorte,42527
Lawrence,40614
Madison,38172
Marion,51940
Marshall,41329
Martin,39941
Miami,35039
Monroe,42212
Montgomery,40056
Morgan,44183
Newton,39818
Noble,39798
Ohio,40714
Orange,38124
Owen,40081
Parke,36345
Perry,37851
Pike,40714
Porter,53130
Posey,48180
Pulaski,43522
Putnam,37479
Randolph,38491
Ripley,41817
Rush,46945
St. Joseph,47673
Scott,37475
Shelby,43854
Spencer,43971
Starke,35347
Steuben,43231
Sullivan,35181
Switzerland,30827
Tippecanoe,39169
Tipton,46610
Union,38998
Vanderburgh,45893
Vermillion,39411
Vigo,38970
Wabash,43820
Warren,45419
Warrick,56476
Washington,38123
Wayne,41505
Wells,42730
White,43852
Whitley,44528
Adair,51989
Adams,66319
Allamakee,45745
Appanoose,38478
Audubon,48279
Benton,53994
Black Hawk,44764
Boone,49606
Bremer,49405
Buchanan,46491
Buena Vista,50000
Butler,49863
Calhoun,51217
Carroll,54456
Cass,48327
Cedar,53356
Cerro Gordo,53342
Cherokee,62827
Chickasaw,58354
Clarke,43888
