County_Name,income_ratio
Effingham,3
Elbert,4
Emanuel,5
Evans,6
Fannin,4
Fayette,4
Floyd,4
Forsyth,3
Franklin,5
Fulton,5
Gilmer,4
Glascock,4
Glynn,5
Gordon,4
Grady,5
Greene,5
Gwinnett,3
Habersham,4
Hall,4
Hancock,5
Haralson,5
Harris,4
Hart,4
Heard,4
Henry,3
Houston,4
Irwin,4
Jackson,4
Jasper,4
Jeff Davis,4
Jefferson,5
Jenkins,5
Johnson,5
Jones,4
Lamar,5
Lanier,7
Laurens,5
Lee,3
Liberty,3
Lincoln,5
Long,3
Lowndes,6
Lumpkin,4
McDuffie,5
McIntosh,5
Macon,5
Madison,4
Marion,4
Meriwether,5
Miller,5
Mitchell,4
Monroe,5
Montgomery,5
Morgan,4
Murray,3
Muscogee,5
Newton,4
Oconee,4
Oglethorpe,4
Paulding,3
Peach,5
Pickens,4
Pierce,4
Pike,4
Polk,4
Pulaski,5
Putnam,4
Quitman,4
Rabun,4
Randolph,4
Richmond,5
Rockdale,4
Schley,5
Screven,5
Seminole,5
Spalding,4
Stephens,4
Stewart,6
Sumter,5
Talbot,4
Taliaferro,4
Tattnall,5
Taylor,5
Telfair,4
Terrell,5
Thomas,5
Tift,5
Toombs,5
Towns,4
Treutlen,4
Troup,5
Turner,7
Twiggs,6
Union,4
Upson,5
Walker,4
Walton,4
Ware,5
Warren,5
Washington,5
Wayne,5
Webster,5
Wheeler,4
White,3
Whitfield,4
Wilcox,5
Wilkes,4
Wilkinson,5
Worth,4
Hawaii,5
Honolulu,4
Kalawao,4
Kauai,4
Maui,4
Ada,4
Adams,3
Bannock,4
Bear Lake,4
Benewah,3
Bingham,4
Blaine,4
Boise,4
Bonner,4
Bonneville,4
Boundary,3
Butte,4
Camas,4
Canyon,3
Caribou,4
Cassia,3
Clark,3
Clearwater,3
Custer,5
Elmore,3
Franklin,3
Fremont,3
Gem,3
Gooding,3
Idaho,4
Jefferson,3
Jerome,4
Kootenai,3
Latah,5
Lemhi,3
Lewis,4
Lincoln,3
Madison,6
Minidoka,4
Nez Perce,4
Oneida,3
Owyhee,4
Payette,4
Power,3
Shoshone,3
Teton,3
Twin Falls,3
Valley,3
Washington,4
Adams,4
Alexander,4
Bond,4
Boone,4
Brown,4
Bureau,3
Calhoun,5
Carroll,4
Cass,4
Champaign,6
Christian,4
Clark,4
Clay,4
Clinton,3
Coles,5
Cook,5
Crawford,4
Cumberland,4
DeKalb,4
De Witt,3
Douglas,4
DuPage,4
Edgar,4
Edwards,4
Effingham,4
Fayette,4
Ford,4
Franklin,4
Fulton,4
Gallatin,4
Greene,4
Grundy,3
Hamilton,4
Hancock,4
Hardin,4
Henderson,3
Henry,4
Iroquois,4
Jackson,6
Jasper,4
Jefferson,4
Jersey,4
Jo Daviess,3
Johnson,4
Kane,4
Kankakee,4
Kendall,3
Knox,4
Lake,4
LaSalle,4
Lawrence,4
Lee,4
Livingston,4
Logan,3
McDonough,6
McHenry,3
McLean,5
Macon,4
Macoupin,4
Madison,4
Marion,4
Marshall,4
Mason,4
Massac,4
Menard,3
Mercer,3
Monroe,4
Montgomery,4
Morgan,4
Moultrie,3
Ogle,4
Peoria,4
Perry,5
Piatt,3
Pike,4
Pope,4
Pulaski,4
Putnam,3
Randolph,3
Richland,4
Rock Island,4
St. Clair,5
Saline,6
Sangamon,4
Schuyler,3
Scott,3
Shelby,3
Stark,4
Stephenson,4
Tazewell,3
Union,4
Vermilion,4
Wabash,4
