County_Name,Numeric_change_in_resident_population
Bleckley,52
Brantley,124
Brooks,-22
Bryan,1568
Bulloch,2366
Burke,-56
Butts,744
Calhoun,-164
Camden,1015
Candler,-24
Carroll,1995
Catoosa,200
Charlton,473
Chatham,264
Chattahoochee,307
Chattooga,7
Cherokee,4859
Clarke,1063
Clay,-50
Clayton,3059
Clinch,15
Cobb,4071
Coffee,218
Colquitt,145
Columbia,2637
Cook,99
Coweta,2511
Crawford,70
Crisp,-245
Dade,-111
Dawson,981
Decatur,-169
DeKalb,4391
Dodge,-188
Dooly,-319
Dougherty,-1244
Douglas,1319
Early,-96
Echols,6
Effingham,2068
Elbert,99
Emanuel,39
Evans,-48
Fannin,207
Fayette,1240
Floyd,534
Forsyth,7259
Franklin,315
Fulton,13806
Gilmer,534
Glascock,-6
Glynn,317
Gordon,335
Grady,-141
Greene,591
Gwinnett,8913
Habersham,-45
Hall,2903
Hancock,89
Haralson,231
Harris,676
Hart,134
Heard,52
Henry,4833
Houston,2340
Irwin,20
Jackson,2652
Jasper,190
Jeff Davis,67
Jefferson,-62
Jenkins,-89
Johnson,-63
Jones,55
Lamar,116
Lanier,68
Laurens,210
Lee,241
Liberty,829
Lincoln,-4
Long,468
Lowndes,1097
Lumpkin,711
McDuffie,-220
McIntosh,56
Macon,-213
Madison,238
Marion,-14
Meriwether,73
Miller,34
Mitchell,-272
Monroe,75
Montgomery,4
Morgan,445
Murray,153
Muscogee,1600
Newton,2323
Oconee,802
Oglethorpe,179
Paulding,4614
Peach,183
Pickens,577
Pierce,77
Pike,315
Polk,267
Pulaski,57
Putnam,299
Quitman,39
Rabun,280
Randolph,-34
Richmond,851
Rockdale,391
Schley,27
Screven,6
Seminole,-180
Spalding,596
Stephens,-82
Stewart,186
Sumter,-272
Talbot,-95
Taliaferro,-75
Tattnall,-199
Taylor,0
Telfair,-114
Terrell,-56
Thomas,117
Tift,102
Toombs,-72
Towns,171
Treutlen,88
Troup,-156
Turner,77
Twiggs,-54
Union,606
Upson,135
Walker,318
Walton,1391
Ware,147
Warren,7
Washington,-36
Wayne,117
Webster,1
Wheeler,-43
White,810
Whitfield,379
Wilcox,-192
Wilkes,-87
Wilkinson,-89
Worth,-55
Hawaii,4
Honolulu,-5295
Kalawao,0
Kauai,125
Maui,445
Ada,12823
Adams,60
Bannock,1134
Bear Lake,81
Benewah,80
Bingham,682
Blaine,250
Boise,176
Bonner,1034
Bonneville,2618
Boundary,229
Butte,10
Camas,-15
Canyon,6613
Caribou,118
Cassia,239
Clark,-6
Clearwater,-2
Custer,65
Elmore,149
Franklin,172
Fremont,-56
Gem,525
Gooding,63
Idaho,191
Jefferson,466
Jerome,346
Kootenai,4488
Latah,279
Lemhi,95
Lewis,6
Lincoln,-32
Madison,646
Minidoka,320
Nez Perce,152
Oneida,69
Owyhee,154
Payette,444
Power,-19
Shoshone,92
Teton,491
Twin Falls,849
Valley,371
Washington,79
Adams,-188
Alexander,-280
Bond,-211
Boone,64
Brown,15
Bureau,-331
Calhoun,-90
Carroll,-9
Cass,-165
Champaign,-229
