County_Name,Numeric_change_in_resident_population
Ocean,5708
Passaic,-1357
Salem,-361
Somerset,-1247
Sussex,-313
Union,-61
Warren,-261
Bernalillo,1087
Catron,-27
Chaves,61
Cibola,-91
Colfax,-130
Curry,-384
De Baca,-31
Dona Ana,917
Eddy,731
Grant,-305
Guadalupe,-34
Harding,-25
Hidalgo,-33
Lea,1527
Lincoln,54
Los Alamos,381
Luna,-168
McKinley,-544
Mora,34
Otero,831
Quay,11
Rio Arriba,-102
Roosevelt,-259
Sandoval,1652
San Juan,-1541
San Miguel,-203
Santa Fe,597
Sierra,-158
Socorro,-67
Taos,24
Torrance,-51
Union,-49
Valencia,383
Albany,-1079
Allegany,-241
Bronx,-13880
Broome,-1437
Cattaraugus,-609
Cayuga,-545
Chautauqua,-569
Chemung,-479
Chenango,-238
Clinton,-194
Columbia,-324
Cortland,-141
Delaware,-391
Dutchess,279
Erie,-1015
Essex,-403
Franklin,-257
Fulton,-250
Genesee,-207
Greene,-193
Hamilton,-16
Herkimer,-394
Jefferson,-2032
Kings,-18171
Lewis,-190
Livingston,-299
Madison,-176
Monroe,-1094
Montgomery,-173
Nassau,-610
New York,-349
Niagara,-779
Oneida,-803
Onondaga,-1121
Ontario,39
Orange,2814
Orleans,-303
Oswego,-391
Otsego,-317
Putnam,-494
Queens,-20747
Rensselaer,-569
Richmond,-117
Rockland,267
St. Lawrence,-587
Saratoga,-307
Schenectady,220
Schoharie,-147
Schuyler,-77
Seneca,-163
Steuben,-481
Suffolk,-4229
Sullivan,33
Tioga,-238
Tompkins,-239
Ulster,-845
Warren,-271
Washington,-70
Wayne,-282
Westchester,-707
Wyoming,-164
Yates,-38
Alamance,2995
Alexander,166
Alleghany,-1
Anson,-24
Ashe,104
Avery,29
Beaufort,-62
Bertie,-159
Bladen,-429
Brunswick,5940
Buncombe,1932
Burke,80
Cabarrus,4856
Caldwell,152
Camden,191
Carteret,35
Caswell,-30
Catawba,864
Chatham,1343
Cherokee,243
Chowan,-122
Clay,107
Cleveland,428
Columbus,-311
Craven,-199
Cumberland,2079
Currituck,747
Dare,402
Davidson,1251
Davie,283
Duplin,-250
Durham,4509
Edgecombe,-512
Forsyth,3079
Franklin,2060
Gaston,1899
Gates,-1
Graham,-20
Granville,464
Greene,-37
Guilford,4567
Halifax,-624
Harnett,1640
Haywood,427
Henderson,917
Hertford,-201
Hoke,539
Hyde,-89
Iredell,3474
Jackson,338
Johnston,6647
Jones,-194
Lee,571
Lenoir,-41
Lincoln,2019
McDowell,291
Macon,584
Madison,90
Martin,-220
Mecklenburg,16606
Mitchell,-32
Montgomery,96
Moore,2075
Nash,204
New Hanover,2217
Northampton,-215
Onslow,1023
Orange,496
Pamlico,93
Pasquotank,241
Pender,1043
Perquimans,82
Person,54
Pitt,1167
Polk,56
Randolph,418
Richmond,-59
Robeson,-1259
Rockingham,393
Rowan,960
Rutherford,254
Sampson,186
Scotland,72
Stanly,626
Stokes,80
Surry,-176
Swain,22
Transylvania,212
Tyrrell,-99
Union,4029
Vance,-100
Wake,20488
Warren,-88
Washington,-189
Watauga,143
Wayne,-106
Wilkes,-151
Wilson,409
Yadkin,186
Yancey,196
Adams,-60
Barnes,-112
Benson,-126
Billings,10
Bottineau,-116
Bowman,-43
Burke,21
Burleigh,350
Cass,1629
Cavalier,-49
Dickey,-59
Divide,0
Dunn,96
Eddy,-22
Emmons,-37
Foster,3
Golden Valley,-2
Grand Forks,-904
Grant,-80
Griggs,3
Hettinger,-4
Kidder,27
LaMoure,-29
Logan,-37
McHenry,-63
McIntosh,-69
McKenzie,1430
McLean,-79
Mercer,-79
Morton,306
Mountrail,306
Nelson,-6
Oliver,14
Pembina,-94
Pierce,-95
Ramsey,-61
Ransom,-6
Renville,-31
Richland,-52
Rolette,-173
Sargent,47
Sheridan,-27
Sioux,-147
Slope,-11
Stark,596
Steele,-2
Stutsman,-171
Towner,4
Traill,16
Walsh,-4
Ward,-72
Wells,-74
Williams,2120
Adams,4
Allen,-374
Ashland,-222
Ashtabula,-346
Athens,-192
Auglaize,-80
Belmont,-527
Brown,-138
Butler,1134
Carroll,-168
Champaign,100
Clark,-445
Clermont,902
Clinton,-117
Columbiana,-590
Coshocton,4
Crawford,10
Cuyahoga,-6646
Darke,-186
Defiance,-2
Delaware,4086
Erie,-247
Fairfield,1592
Fayette,-128
Franklin,9058
Fulton,-141
Gallia,-47
Geauga,-296
Greene,1491
Guernsey,-136
Hamilton,2028
Hancock,-137
Hardin,-53
Harrison,-127
Henry,-85
Highland,109
Hocking,-93
Holmes,41
Huron,-98
Jackson,47
Jefferson,-449
Knox,422
Lake,47
Lawrence,-304
Licking,1196
Logan,340
Lorain,781
Lucas,-1264
Madison,342
Mahoning,-533
Marion,-334
Medina,768
Meigs,-157
Mercer,220
Miami,945
Monroe,-133
Montgomery,87
Morgan,-73
Morrow,215
Muskingum,84
Noble,77
Ottawa,-244
Paulding,-70
Perry,95
Pickaway,380
Pike,-160
Portage,-36
Preble,-129
Putnam,59
Richland,167
Ross,-218
Sandusky,-222
Scioto,-166
Seneca,-16
Shelby,-32
Stark,-642
Summit,-340
Trumbull,-565
Tuscarawas,-92
Union,1206
Van Wert,22
Vinton,-60
Warren,2657
Washington,-200
Wayne,-80
Williams,-47
Wood,376
Wyandot,-146
Adair,-30
Alfalfa,-63
Atoka,-37
Beaver,-7
Beckham,139
Blaine,-25
Bryan,804
Caddo,-266
Canadian,3880
Carter,-102
Cherokee,50
Choctaw,-26
Cimarron,-28
Cleveland,2848
Coal,-25
Comanche,221
Cotton,-154
Craig,-158
Creek,-208
Custer,8
Delaware,195
Dewey,-40
Ellis,-80
Garfield,-39
Garvin,-35
Grady,386
Grant,12
Greer,-102
Harmon,-38
Harper,-39
Haskell,-9
Hughes,-26
Jackson,-245
Jefferson,-104
Johnston,65
Kay,-406
Kingfisher,-49
Kiowa,-24
Latimer,-102
Le Flore,-240
Lincoln,40
Logan,763
Love,97
McClain,587
McCurtain,-135
McIntosh,-149
Major,2
Marshall,204
Mayes,-110
Murray,105
Muskogee,-327
Noble,-148
Nowata,-202
Okfuskee,-88
Oklahoma,6841
Okmulgee,144
Osage,-158
Ottawa,-192
Pawnee,20
Payne,-388
Pittsburg,-216
Pontotoc,12
Pottawatomie,79
Pushmataha,-96
Roger Mills,-63
Rogers,658
Seminole,-262
Sequoyah,-16
Stephens,-36
Texas,-508
Tillman,-73
Tulsa,3869
Wagoner,1166
Washington,-264
Washita,-120
Woods,-100
Woodward,-101
Baker,90
Benton,611
Clackamas,2771
Clatsop,513
Columbia,109
Coos,215
Crook,579
Curry,130
Deschutes,5787
Douglas,866
Gilliam,19
Grant,14
Harney,101
Hood River,115
Jackson,1533
Jefferson,508
Josephine,337
Klamath,551
Lake,34
Lane,3518
Lincoln,738
Linn,2298
Malheur,18
Marion,2406
Morrow,243
Multnomah,3783
Polk,1093
Sherman,80
Tillamook,326
Umatilla,529
Union,134
Wallowa,150
Wasco,250
Washington,4688
Wheeler,-19
Yamhill,733
Adams,-53
Allegheny,-1236
Armstrong,-617
Beaver,-653
Bedford,-206
Berks,635
Blair,-674
Bradford,-471
Bucks,458
Butler,215
Cambria,-1257
Cameron,-54
Carbon,7
Centre,-216
Chester,2903
Clarion,-234
Clearfield,-317
Clinton,-64
Columbia,-251
Crawford,-481
Cumberland,2239
Dauphin,1435
Delaware,1516
Elk,-200
Erie,-1816
Fayette,-1049
Forest,-37
Franklin,448
Fulton,5
Greene,-428
Huntingdon,-251
Indiana,-368
Jefferson,-189
Juniata,45
Lackawanna,-595
Lancaster,1755
Lawrence,-616
Lebanon,454
Lehigh,959
Luzerne,-442
Lycoming,-567
McKean,-325
Mercer,-1047
Mifflin,-73
Monroe,977
Montgomery,3991
Montour,-10
Northampton,721
Northumberland,-237
Perry,118
Philadelphia,472
Pike,29
Potter,-97
Schuylkill,-456
Snyder,-146
Somerset,-425
Sullivan,-10
Susquehanna,-232
Tioga,-99
Union,-94
Venango,-533
Warren,-360
Washington,-153
Wayne,-34
Westmoreland,-1560
Wyoming,-293
York,1211
Bristol,-158
Kent,239
Newport,-465
Providence,1978
Washington,-520
Abbeville,-60
Aiken,1423
Allendale,-236
Anderson,2266
Bamberg,-206
Barnwell,-255
Beaufort,3246
Berkeley,6725
Calhoun,-10
Charleston,5184
Cherokee,231
Chester,-60
Chesterfield,-231
Clarendon,3
Colleton,1
Darlington,-141
Dillon,-133
Dorchester,2091
Edgefield,128
Fairfield,-29
Florence,16
Georgetown,448
Greenville,8921
Greenwood,214
Hampton,-126
Horry,9976
Jasper,926
Kershaw,749
Lancaster,2977
Laurens,603
Lee,-466
Lexington,4400
McCormick,55
Marion,-399
Marlboro,-274
Newberry,-3
Oconee,1239
Orangeburg,-838
Pickens,1659
Richland,1557
Saluda,76
Spartanburg,5648
Sumter,312
Union,-8
Williamsburg,-238
York,7197
Aurora,-34
Beadle,30
Bennett,-108
Bon Homme,-9
Brookings,0
Brown,-306
Brule,67
Buffalo,-65
Butte,176
Campbell,10
Charles Mix,-39
Clark,10
Clay,87
Codington,-24
Corson,-92
Custer,160
Davison,-9
Day,-83
Deuel,-1
Dewey,-33
Douglas,-5
Edmunds,-37
Fall River,-27
Faulk,-16
Grant,-51
Gregory,-4
Haakon,-3
Hamlin,94
Hand,-49
Hanson,89
Harding,46
Hughes,-157
Hutchinson,-15
Hyde,30
Jackson,66
Jerauld,-13
Jones,-25
Kingsbury,13
Lake,-258
Lawrence,117
Lincoln,2333
Lyman,-23
McCook,-15
McPherson,-22
Marshall,14
Meade,128
Mellette,27
Miner,12
Minnehaha,2142
Moody,74
Oglala Lakota,-154
Pennington,1825
Perkins,-43
Potter,-53
Roberts,18
Sanborn,-52
Spink,-108
Stanley,81
Sully,14
Todd,-68
Tripp,-50
Turner,-38
Union,362
Walworth,-42
Yankton,55
Ziebach,12
Anderson,691
Bedford,567
Benton,-86
Bledsoe,181
Blount,1757
Bradley,1060
Campbell,47
Cannon,238
Carroll,-208
Carter,-26
Cheatham,165
Chester,52
Claiborne,109
Clay,-62
Cocke,146
Coffee,643
Crockett,-66
Cumberland,782
Davidson,3628
Decatur,-36
DeKalb,357
Dickson,502
Dyer,-127
Fayette,577
Fentress,201
Franklin,273
Gibson,-38
Giles,18
Grainger,183
Greene,-95
Grundy,79
Hamblen,305
Hamilton,3511
Hancock,59
Hardeman,-226
Hardin,-41
Hawkins,73
Haywood,-43
Henderson,134
Henry,9
Hickman,171
Houston,-33
Humphreys,31
Jackson,9
Jefferson,483
Johnson,14
Knox,4055
Lake,-391
Lauderdale,-364
Lawrence,371
Lewis,194
Lincoln,177
Loudon,986
McMinn,458
McNairy,-136
Macon,313
Madison,381
Marion,309
Marshall,569
Maury,2114
Meigs,125
Monroe,276
Montgomery,3681
Moore,31
Morgan,-131
Obion,-205
Overton,173
Perry,26
Pickett,-5
Polk,-86
Putnam,1614
Rhea,256
Roane,124
Robertson,634
Rutherford,7638
Scott,40
Sequatchie,135
Sevier,355
Shelby,801
Smith,178
Stewart,96
Sullivan,749
Sumner,3793
Tipton,23
Trousdale,251
Unicoi,61
Union,283
Van Buren,109
Warren,451
Washington,714
Wayne,38
Weakley,-85
White,259
Williamson,6434
Wilson,3703
Anderson,-239
Andrews,694
Angelina,-95
Aransas,64
Archer,-147
Armstrong,8
Atascosa,831
Austin,67
Bailey,-15
Bandera,320
Bastrop,2128
Baylor,-64
Bee,98
Bell,7527
Bexar,22367
Blanco,283
Borden,7
Bosque,56
Bowie,-443
Brazoria,5377
Brazos,3430
Brewster,-69
Briscoe,34
Brooks,-6
Brown,44
Burleson,108
Burnet,811
Caldwell,503
Calhoun,-214
Callahan,-47
Cameron,1024
Camp,111
Carson,-81
Cass,-80
Castro,-58
Chambers,1610
Cherokee,265
Childress,-9
Clay,23
Cochran,22
Coke,32
Coleman,-192
Collin,30423
Collingsworth,-22
Colorado,188
Comal,8068
Comanche,95
Concho,43
Cooke,753
Coryell,1210
Cottle,16
Crane,42
Crockett,25
Crosby,-27
Culberson,-23
Dallam,-16
Dallas,6166
Dawson,123
Deaf Smith,-165
Delta,-1
Denton,28466
DeWitt,54
Dickens,-7
Dimmit,-71
Donley,-37
Duval,10
Eastland,41
Ector,4263
Edwards,24
Ellis,5820
El Paso,2413
Erath,475
Falls,66
Fannin,329
Fayette,68
Fisher,9
Floyd,-71
Foard,-36
Fort Bend,23607
Franklin,-53
Freestone,-72
Frio,95
Gaines,672
Galveston,4281
Garza,-14
Gillespie,286
Glasscock,18
Goliad,70
Gonzales,56
Gray,-165
Grayson,2425
Gregg,694
Grimes,589
Guadalupe,3571
Hale,-225
Hall,-61
Hamilton,-16
Hansford,-71
Hardeman,4
Hardin,495
Harris,33280
Harrison,-31
Hartley,-35
Haskell,-41
Hays,7485
Hemphill,-26
Henderson,634
Hidalgo,6409
Hill,484
Hockley,50
Hood,1466
Hopkins,346
Houston,-100
Howard,739
Hudspeth,98
Hunt,1988
Hutchinson,-181
Irion,20
Jack,110
Jackson,-74
Jasper,-240
Jeff Davis,31
Jefferson,-1669
Jim Hogg,8
Jim Wells,-274
Johnson,4696
Jones,217
Karnes,-59
Kaufman,7875
Kendall,1828
Kenedy,-33
Kent,36
Kerr,185
Kimble,-1
King,-4
Kinney,-25
Kleberg,-42
Knox,2
Lamar,130
Lamb,-210
Lampasas,294
La Salle,27
Lavaca,40
Lee,142
Leon,144
Liberty,2417
Limestone,94
Lipscomb,-109
Live Oak,59
Llano,195
Loving,21
Lubbock,2942
Lynn,103
McCulloch,2
McLennan,2427
McMullen,12
Madison,-79
Marion,-61
Martin,90
Mason,15
Matagorda,77
Maverick,446
Medina,722
Menard,18
Midland,4327
Milam,-222
Mills,-10
Mitchell,20
Montague,234
Montgomery,17621
Moore,-143
Morris,85
Motley,-32
Nacogdoches,43
Navarro,577
Newton,-156
Nolan,-85
Nueces,268
Ochiltree,-30
Oldham,-6
Orange,-78
Palo Pinto,315
Panola,52
Parker,4808
Parmer,-114
Pecos,114
Polk,1398
Potter,-1296
Presidio,-152
Rains,367
Randall,2022
Reagan,113
Real,-25
Red River,-120
Reeves,463
Refugio,-52
Roberts,-44
Robertson,-145
Rockwall,4369
Runnels,86
Rusk,105
Sabine,-34
San Augustine,-17
San Jacinto,142
San Patricio,59
San Saba,-5
Schleicher,-87
Scurry,-109
Shackelford,9
Shelby,-33
Sherman,-79
Smith,3002
Somervell,98
Starr,384
Stephens,-39
Sterling,-13
Stonewall,-2
Sutton,24
Swisher,-16
Tarrant,21069
Taylor,740
Terrell,-34
Terry,-7
Throckmorton,-3
Titus,7
Tom Green,1186
Travis,27382
Trinity,-37
Tyler,63
Upshur,574
Upton,20
Uvalde,-46
Val Verde,37
Van Zandt,624
Victoria,206
Walker,-165
Waller,1734
Ward,289
Washington,386
Webb,1532
Wharton,57
Wheeler,-102
Wichita,423
Wilbarger,-8
Willacy,-92
Williamson,24088
Wilson,874
Winkler,232
Wise,1700
Wood,382
Yoakum,123
Young,24
Zapata,30
Zavala,-129
Beaver,85
Box Elder,1140
Cache,1889
Carbon,230
Daggett,-24
Davis,4380
Duchesne,-5
Emery,9
Garfield,49
Grand,68
Iron,2161
Juab,388
Kane,209
Millard,201
Morgan,168
Piute,41
Rich,27
Salt Lake,11745
San Juan,-50
Sanpete,436
Sevier,123
Summit,255
Tooele,2270
Uintah,329
Utah,14715
Wasatch,1024
Washington,5989
Wayne,40
Weber,4516
Addison,-96
Bennington,-50
Caledonia,-243
Chittenden,203
Essex,-71
Franklin,144
Grand Isle,125
Lamoille,67
Orange,4
Orleans,178
Rutland,-405
Washington,330
Windham,-413
Windsor,-142
Accomack,-265
Albemarle,953
Alleghany,-126
Amelia,88
Amherst,-79
Appomattox,30
Arlington,817
Augusta,23
Bath,-106
Bedford,115
Bland,-23
Botetourt,67
Brunswick,-105
Buchanan,-365
Buckingham,105
Campbell,-252
Caroline,-26
Carroll,50
Charles City,-37
Charlotte,-64
Chesterfield,4521
Clarke,108
Craig,29
Culpeper,810
Cumberland,75
Dickenson,-208
Dinwiddie,-89
Essex,57
Fairfax,-931
Fauquier,580
Floyd,-41
Fluvanna,372
Franklin,-149
Frederick,1140
Giles,-79
Gloucester,7
Goochland,534
Grayson,-85
Greene,127
Greensville,-96
Halifax,-270
Hanover,880
Henrico,1825
Henry,-493
Highland,-18
Isle of Wight,137
James City,490
King and Queen,-20
King George,224
King William,229
Lancaster,-93
Lee,-233
Loudoun,8016
Louisa,807
Lunenburg,-19
Madison,13
Mathews,42
Mecklenburg,-37
Middlesex,-151
Montgomery,3
Nelson,68
New Kent,774
Northampton,-51
Northumberland,-73
Nottoway,-168
Orange,453
Page,-70
Patrick,-55
Pittsylvania,-547
Powhatan,442
Prince Edward,-104
Prince George,360
Prince William,4100
Pulaski,-33
Rappahannock,25
Richmond,53
Roanoke,100
Rockbridge,-188
Rockingham,687
Russell,-209
Scott,-106
Shenandoah,143
Smyth,-350
Southampton,-82
Spotsylvania,2204
Stafford,3058
Surry,-41
Sussex,-82
Tazewell,-463
Warren,158
Washington,-327
Westmoreland,198
Wise,-492
Wythe,-14
York,304
Alexandria City,359
Bristol City,77
Buena Vista City,-16
Charlottesville City,-240
Chesapeake City,2476
Colonial Heights City,-134
Covington City,-40
Danville City,-605
Emporia City,-17
Fairfax City,294
Falls Church City,150
Franklin City,-122
Fredericksburg City,-135
Galax City,-1
Hampton City,180
Harrisonburg City,-472
Hopewell City,51
Lexington City,149
Lynchburg City,859
Manassas City,39
Manassas Park City,-240
Martinsville City,-73
Newport News City,702
Norfolk City,-843
Norton City,9
Petersburg City,290
Poquoson City,102
Portsmouth City,-352
Radford City,148
Richmond City,1215
Roanoke City,134
Salem City,8
Staunton City,370
Suffolk City,1133
Virginia Beach City,125
Waynesboro City,99
Williamsburg City,-48
Winchester City,116
Adams,247
Asotin,-34
Benton,3104
Chelan,448
Clallam,780
Clark,6814
Columbia,-54
Cowlitz,1841
Douglas,680
Ferry,-11
Franklin,1219
Garfield,-15
Grant,1061
Grays Harbor,1260
Island,914
Jefferson,475
King,24418
Kitsap,2197
Kittitas,577
Klickitat,289
Lewis,1138
Lincoln,213
Mason,1388
Okanogan,126
Pacific,397
Pend Oreille,138
Pierce,11224
San Juan,458
Skagit,1370
Skamania,164
Snohomish,9024
Spokane,9195
Stevens,499
Thurston,4480
Wahkiakum,73
Walla Walla,145
Whatcom,4050
Whitman,421
Yakima,311
Barbour,-46
Berkeley,1935
Boone,-496
Braxton,-119
Brooke,-190
Cabell,-1090
Calhoun,-108
Clay,-131
Doddridge,-108
Fayette,-576
Gilmer,-75
Grant,-62
Greenbrier,-130
Hampshire,-182
Hancock,-269
Hardy,12
Harrison,-238
Jackson,-119
Jefferson,256
Kanawha,-2286
Lewis,-110
Lincoln,-174
Logan,-590
McDowell,-597
Marion,-19
Marshall,-290
Mason,-236
Mercer,-444
Mineral,-85
Mingo,-427
Monongalia,-39
Monroe,-14
Morgan,54
Nicholas,-339
Ohio,-294
Pendleton,-15
Pleasants,-45
Pocahontas,-161
Preston,-121
Putnam,-192
Raleigh,-811
Randolph,-119
Ritchie,-194
Roane,-230
Summers,-99
Taylor,-133
Tucker,-98
Tyler,-149
Upshur,-196
Wayne,-559
Webster,-160
Wetzel,-194
Wirt,10
Wood,-662
Wyoming,-390
Adams,-121
Ashland,-25
Barron,94
Bayfield,10
Brown,1377
Buffalo,-83
Burnett,40
Calumet,-43
Chippewa,549
Clark,69
Columbia,199
Crawford,-134
Dane,4747
Dodge,6
Door,79
Douglas,7
Dunn,277
Eau Claire,291
Florence,1
Fond du Lac,402
Forest,27
Grant,-5
Green,36
Green Lake,64
Iowa,-44
Iron,0
Jackson,171
Jefferson,-280
Juneau,94
Kenosha,635
Kewaunee,39
La Crosse,-25
Lafayette,-7
Langlade,-47
Lincoln,-80
Manitowoc,-34
Marathon,271
Marinette,-52
Marquette,156
Menominee,-39
Milwaukee,-1243
Monroe,112
Oconto,106
Oneida,151
Outagamie,1006
Ozaukee,162
Pepin,-17
Pierce,162
Polk,215
Portage,-78
Price,-6
Racine,-46
Richland,-145
Rock,480
Rusk,68
St. Croix,999
Sauk,124
Sawyer,94
Shawano,128
Sheboygan,107
Taylor,-21
Trempealeau,155
Vernon,50
Vilas,267
Walworth,318
Washburn,-117
Washington,589
Waukesha,1676
Waupaca,-140
Waushara,176
Winnebago,1029
Wood,45
Albany,152
Big Horn,-87
Campbell,42
Carbon,-79
Converse,164
Crook,139
Fremont,-300
Goshen,-81
Hot Springs,-155
Johnson,-1
Laramie,635
Lincoln,385
Natrona,683
Niobrara,-44
Park,-16
Platte,-123
Sheridan,266
Sublette,33
Sweetwater,-515
Teton,195
Uinta,-66
Washakie,-72
Weston,3
