County_Name,life_expectancy
Emanuel,72
Evans,75
Fannin,76
Fayette,81
Floyd,75
Forsyth,82
Franklin,74
Fulton,79
Gilmer,76
Glascock,73
Glynn,77
Gordon,75
Grady,75
Greene,77
Gwinnett,80
Habersham,77
Hall,79
Hancock,76
Haralson,73
Harris,80
Hart,78
Heard,74
Henry,77
Houston,77
Irwin,73
Jackson,76
Jasper,75
Jeff Davis,72
Jefferson,72
Jenkins,74
Johnson,75
Jones,78
Lamar,74
Lanier,76
Laurens,74
Lee,76
Liberty,75
Lincoln,77
Long,80
Lowndes,75
Lumpkin,77
McDuffie,74
McIntosh,81
Macon,73
Madison,76
Marion,76
Meriwether,74
Miller,71
Mitchell,73
Monroe,77
Montgomery,76
Morgan,77
Murray,75
Muscogee,73
Newton,76
Oconee,81
Oglethorpe,78
Paulding,78
Peach,73
Pickens,77
Pierce,75
Pike,76
Polk,73
Pulaski,78
Putnam,78
Quitman,76
Rabun,78
Randolph,76
Richmond,74
Rockdale,77
Schley,80
Screven,75
Seminole,73
Spalding,73
Stephens,73
Stewart,73
Sumter,72
Talbot,77
Taliaferro,
Tattnall,75
Taylor,75
Telfair,78
Terrell,74
Thomas,75
Tift,75
Toombs,74
Towns,76
Treutlen,76
Troup,75
Turner,73
Twiggs,71
Union,79
Upson,73
Walker,74
Walton,76
Ware,74
Warren,73
Washington,75
Wayne,73
Webster,78
Wheeler,79
White,79
Whitfield,78
Wilcox,75
Wilkes,75
Wilkinson,74
Worth,75
Hawaii,80
Honolulu,82
Kalawao,
Kauai,82
Maui,83
Ada,80
Adams,80
Bannock,76
Bear Lake,78
Benewah,75
Bingham,76
Blaine,86
Boise,82
Bonner,79
Bonneville,77
Boundary,79
Butte,76
Camas,
Canyon,78
Caribou,78
Cassia,77
Clark,
Clearwater,77
Custer,81
Elmore,78
Franklin,77
Fremont,80
Gem,77
Gooding,77
Idaho,79
Jefferson,79
Jerome,78
Kootenai,79
Latah,81
Lemhi,79
Lewis,79
Lincoln,79
Madison,81
Minidoka,79
Nez Perce,77
Oneida,80
Owyhee,77
Payette,77
Power,78
Shoshone,75
Teton,83
Twin Falls,77
Valley,83
Washington,80
Adams,78
Alexander,74
Bond,78
Boone,79
Brown,77
Bureau,78
Calhoun,83
Carroll,79
Cass,77
Champaign,80
Christian,77
Clark,77
Clay,76
Clinton,79
Coles,78
Cook,79
Crawford,77
Cumberland,79
DeKalb,79
De Witt,76
Douglas,78
DuPage,82
Edgar,77
Edwards,79
Effingham,78
Fayette,78
Ford,76
Franklin,75
Fulton,76
Gallatin,74
Greene,75
Grundy,78
Hamilton,78
Hancock,79
Hardin,72
Henderson,78
Henry,79
Iroquois,75
Jackson,78
Jasper,79
Jefferson,76
Jersey,76
Jo Daviess,79
Johnson,78
Kane,81
Kankakee,76
Kendall,81
Knox,77
Lake,81
LaSalle,77
Lawrence,75
Lee,78
Livingston,76
Logan,76
McDonough,78
McHenry,80
McLean,80
Macon,77
Macoupin,76
Madison,76
Marion,74
Marshall,76
Mason,76
Massac,74
Menard,78
Mercer,77
Monroe,82
Montgomery,77
Morgan,77
Moultrie,78
Ogle,78
Peoria,77
Perry,78
Piatt,79
Pike,76
Pope,79
Pulaski,76
Putnam,78
Randolph,77
Richland,77
Rock Island,78
St. Clair,76
Saline,73
Sangamon,78
Schuyler,75
Scott,76
Shelby,80
Stark,76
Stephenson,79
Tazewell,78
Union,76
Vermilion,74
Wabash,80
Warren,78
Washington,78
Wayne,77
White,75
Whiteside,78
Will,79
Williamson,76
Winnebago,76
Woodford,79
Adams,78
Allen,77
Bartholomew,78
Benton,79
Blackford,75
Boone,78
Brown,78
Carroll,79
Cass,76
Clark,74
Clay,75
Clinton,76
Crawford,74
Daviess,76
Dearborn,76
Decatur,76
DeKalb,77
Delaware,74
Dubois,79
Elkhart,78
Fayette,72
Floyd,76
Fountain,76
Franklin,79
Fulton,75
Gibson,76
Grant,74
Greene,76
Hamilton,81
Hancock,78
Harrison,77
Hendricks,79
Henry,75
Howard,74
Huntington,77
Jackson,75
Jasper,77
Jay,74
Jefferson,75
Jennings,73
Johnson,78
Knox,75
Kosciusko,78
LaGrange,79
Lake,76
LaPorte,75
Lawrence,76
Madison,75
Marion,75
Marshall,78
Martin,78
Miami,77
Monroe,80
Montgomery,76
Morgan,76
Newton,75
Noble,77
Ohio,78
Orange,76
Owen,75
Parke,78
Perry,77
Pike,76
Porter,78
Posey,79
Pulaski,75
Putnam,78
Randolph,75
Ripley,76
Rush,76
St. Joseph,77
Scott,71
Shelby,76
Spencer,78
Starke,74
Steuben,79
Sullivan,75
Switzerland,76
Tippecanoe,79
Tipton,77
Union,76
Vanderburgh,76
Vermillion,75
Vigo,75
Wabash,75
Warren,79
Warrick,78
Washington,74
Wayne,73
Wells,78
White,76
Whitley,79
Adair,79
Adams,78
Allamakee,79
Appanoose,77
Audubon,75
Benton,79
Black Hawk,78
Boone,79
Bremer,82
Buchanan,78
Buena Vista,81
Butler,78
Calhoun,78
Carroll,79
Cass,76
Cedar,82
Cerro Gordo,78
Cherokee,79
Chickasaw,79
Clarke,76
Clay,81
Clayton,81
Clinton,77
Crawford,79
Dallas,82
Davis,79
Decatur,77
Delaware,81
Des Moines,78
Dickinson,81
Dubuque,80
Emmet,78
Fayette,78
Floyd,79
Franklin,79
Fremont,77
Greene,78
Grundy,79
Guthrie,81
Hamilton,79
Hancock,81
Hardin,80
Harrison,78
Henry,79
Howard,79
Humboldt,79
Ida,78
Iowa,79
Jackson,79
Jasper,79
Jefferson,80
Johnson,82
Jones,81
Keokuk,79
Kossuth,82
Lee,76
Linn,80
Louisa,78
Lucas,78
Lyon,81
Madison,79
Mahaska,79
Marion,79
Marshall,77
Mills,80
Mitchell,80
Monona,77
Monroe,76
Montgomery,77
Muscatine,78
O'Brien,79
Osceola,79
Page,78
Palo Alto,78
Plymouth,80
Pocahontas,77
Polk,79
Pottawattamie,77
Poweshiek,79
Ringgold,77
Sac,78
Scott,78
Shelby,80
Sioux,83
Story,81
Tama,76
Taylor,78
Union,77
Van Buren,76
Wapello,76
Warren,79
Washington,78
Wayne,77
Webster,76
Winnebago,79
Winneshiek,82
Woodbury,77
Worth,78
Wright,79
Allen,76
Anderson,76
Atchison,76
Barber,76
Barton,78
Bourbon,75
Brown,74
Butler,77
Chase,76
Chautauqua,74
Cherokee,74
Cheyenne,82
Clark,74
Clay,78
Cloud,76
Coffey,78
Comanche,73
Cowley,75
Crawford,76
Decatur,77
Dickinson,78
Doniphan,78
Douglas,80
Edwards,71
Elk,71
Ellis,79
Ellsworth,77
Finney,80
Ford,78
Franklin,77
Geary,75
Gove,80
Graham,75
Grant,78
Gray,79
Greeley,
Greenwood,74
Hamilton,76
Harper,74
Harvey,78
Haskell,79
Hodgeman,77
Jackson,77
Jefferson,79
Jewell,80
Johnson,82
Kearny,79
Kingman,68
Kiowa,78
Labette,75
Lane,
Leavenworth,79
Lincoln,81
Linn,76
Logan,79
Lyon,79
McPherson,78
Marion,78
Marshall,77
Meade,75
Miami,79
Mitchell,79
Montgomery,74
Morris,79
Morton,76
Nemaha,79
Neosho,76
Ness,75
Norton,77
Osage,77
Osborne,77
Ottawa,76
Pawnee,76
Phillips,79
Pottawatomie,81
Pratt,76
Rawlins,77
Reno,78
Republic,77
Rice,76
Riley,80
Rooks,78
Rush,74
Russell,77
Saline,77
Scott,80
Sedgwick,77
Seward,79
Shawnee,76
Sheridan,82
Sherman,77
Smith,78
Stafford,77
Stanton,78
Stevens,79
Sumner,77
Thomas,79
Trego,78
Wabaunsee,80
Wallace,
Washington,79
Wichita,79
Wilson,76
Woodson,77
Wyandotte,75
Adair,75
Allen,74
Anderson,74
Ballard,75
Barren,76
Bath,72
Bell,71
Boone,78
Bourbon,75
Boyd,74
Boyle,76
Bracken,73
Breathitt,69
Breckinridge,75
Bullitt,77
Butler,73
Caldwell,76
Calloway,77
Campbell,77
Carlisle,75
Carroll,72
Carter,74
Casey,74
Christian,74
Clark,74
Clay,70
Clinton,75
Crittenden,73
Cumberland,74
Daviess,76
Edmonson,76
Elliott,76
Estill,71
Fayette,78
Fleming,74
Floyd,70
Franklin,75
Fulton,72
Gallatin,71
Garrard,76
Grant,73
Graves,75
Grayson,72
Green,75
Greenup,75
Hancock,77
Hardin,77
Harlan,70
Harrison,74
Hart,74
Henderson,75
Henry,75
Hickman,77
Hopkins,74
Jackson,72
Jefferson,75
Jessamine,77
Johnson,72
Kenton,76
Knott,71
Knox,72
Larue,76
Laurel,74
Lawrence,72
Lee,70
Leslie,71
Letcher,71
Lewis,71
Lincoln,74
Livingston,73
Logan,75
Lyon,76
McCracken,76
McCreary,71
McLean,73
Madison,76
Magoffin,72
Marion,75
Marshall,75
Martin,72
Mason,73
Meade,76
Menifee,72
Mercer,74
Metcalfe,74
Monroe,72
Montgomery,74
Morgan,74
Muhlenberg,75
Nelson,75
Nicholas,73
Ohio,74
Oldham,79
Owen,75
Owsley,69
Pendleton,74
Perry,69
Pike,73
Powell,69
Pulaski,73
Robertson,73
Rockcastle,73
Rowan,74
Russell,73
Scott,76
Shelby,78
Simpson,74
Spencer,77
Taylor,75
Todd,74
Trigg,77
Trimble,73
Union,73
Warren,77
Washington,75
Wayne,75
Webster,74
Whitley,70
Wolfe,71
Woodford,78
Acadia,75
Allen,74
Ascension,78
Assumption,77
Avoyelles,73
Beauregard,74
Bienville,74
Bossier,77
