County_Name,pct_college
Elbert,35
Emanuel,40
Evans,46
Fannin,46
Fayette,77
Floyd,49
Forsyth,80
Franklin,45
Fulton,76
Gilmer,45
Glascock,56
Glynn,60
Gordon,49
Grady,50
Greene,36
Gwinnett,65
Habersham,43
Hall,48
Hancock,20
Haralson,51
Harris,73
Hart,50
Heard,43
Henry,63
Houston,69
Irwin,48
Jackson,55
Jasper,43
Jeff Davis,40
Jefferson,35
Jenkins,54
Johnson,37
Jones,61
Lamar,52
Lanier,50
Laurens,48
Lee,67
Liberty,66
Lincoln,46
Long,63
Lowndes,60
Lumpkin,54
McDuffie,48
McIntosh,48
Macon,39
Madison,51
Marion,48
Meriwether,43
Miller,58
Mitchell,37
Monroe,55
Montgomery,54
Morgan,59
Murray,39
Muscogee,65
Newton,56
Oconee,81
Oglethorpe,47
Paulding,65
Peach,63
Pickens,54
Pierce,47
Pike,53
Polk,43
Pulaski,44
Putnam,48
Quitman,36
Rabun,39
Randolph,46
Richmond,58
Rockdale,57
Schley,59
Screven,48
Seminole,51
Spalding,45
Stephens,55
Stewart,27
Sumter,56
Talbot,45
Taliaferro,20
Tattnall,33
Taylor,50
Telfair,27
Terrell,47
Thomas,61
Tift,51
Toombs,42
Towns,60
Treutlen,39
Troup,52
Turner,39
Twiggs,53
Union,47
Upson,53
Walker,52
Walton,52
Ware,45
Warren,37
Washington,46
Wayne,47
Webster,37
Wheeler,35
White,49
Whitfield,43
Wilcox,31
Wilkes,36
Wilkinson,37
Worth,46
Hawaii,59
Honolulu,71
Kalawao,62
Kauai,62
Maui,59
Ada,73
Adams,52
Bannock,66
Bear Lake,53
Benewah,43
Bingham,64
Blaine,54
Boise,61
Bonner,57
Bonneville,66
Boundary,46
Butte,69
Camas,60
Canyon,53
Caribou,67
Cassia,51
Clark,38
Clearwater,53
Custer,66
Elmore,65
Franklin,48
Fremont,55
Gem,47
Gooding,42
Idaho,55
Jefferson,65
Jerome,41
Kootenai,65
Latah,83
Lemhi,62
Lewis,62
Lincoln,37
Madison,84
Minidoka,48
Nez Perce,63
Oneida,50
Owyhee,39
Payette,57
Power,49
Shoshone,50
Teton,76
Twin Falls,61
Valley,56
Washington,45
Adams,68
Alexander,41
Bond,61
Boone,58
Brown,48
Bureau,58
Calhoun,70
Carroll,57
Cass,46
Champaign,79
Christian,56
Clark,65
Clay,62
Clinton,66
Coles,68
Cook,70
Crawford,62
Cumberland,56
DeKalb,74
De Witt,64
Douglas,54
DuPage,78
Edgar,61
Edwards,69
Effingham,66
Fayette,52
Ford,64
Franklin,63
Fulton,59
Gallatin,57
Greene,50
Grundy,66
Hamilton,71
Hancock,60
Hardin,59
Henderson,60
Henry,65
Iroquois,57
Jackson,77
Jasper,63
Jefferson,59
Jersey,66
Jo Daviess,62
Johnson,45
Kane,61
Kankakee,60
Kendall,72
Knox,56
Lake,69
LaSalle,59
Lawrence,49
Lee,62
Livingston,52
Logan,60
McDonough,71
McHenry,70
