County_Name,Net_migration_of_population
Passaic,-4208
Salem,-291
Somerset,-1681
Sussex,-250
Union,-2629
Warren,-219
Bernalillo,-51
Catron,-9
Chaves,-122
Cibola,-134
Colfax,-115
Curry,-829
De Baca,-27
Dona Ana,-96
Eddy,475
Grant,-231
Guadalupe,-32
Harding,-18
Hidalgo,-23
Lea,945
Lincoln,89
Los Alamos,318
Luna,-231
McKinley,-721
Mora,42
Otero,513
Quay,18
Rio Arriba,-58
Roosevelt,-369
Sandoval,1392
San Juan,-1849
San Miguel,-181
Santa Fe,605
Sierra,-19
Socorro,-95
Taos,72
Torrance,-53
Union,-49
Valencia,253
Albany,-1326
Allegany,-226
Bronx,-22506
Broome,-1250
Cattaraugus,-560
Cayuga,-576
Chautauqua,-450
Chemung,-394
Chenango,-171
Clinton,-204
Columbia,-135
Cortland,-191
Delaware,-163
Dutchess,479
Erie,-986
Essex,-296
Franklin,-177
Fulton,-203
Genesee,-118
Greene,-34
Hamilton,18
Herkimer,-295
Jefferson,-3026
Kings,-37742
Lewis,-242
Livingston,-226
Madison,-214
Monroe,-2158
Montgomery,-253
Nassau,-3291
New York,-5003
Niagara,-458
Oneida,-795
Onondaga,-1865
Ontario,148
Orange,675
Orleans,-274
Oswego,-509
Otsego,-149
Putnam,-512
Queens,-31906
Rensselaer,-506
Richmond,-1291
Rockland,-2673
St. Lawrence,-495
Saratoga,-358
Schenectady,-82
Schoharie,-70
Schuyler,-34
Seneca,-167
Steuben,-440
Suffolk,-6239
Sullivan,38
Tioga,-170
Tompkins,-350
Ulster,-529
Warren,-123
Washington,70
Wayne,-349
Westchester,-3330
Wyoming,-146
Yates,-88
Alamance,2655
Alexander,203
Alleghany,34
Anson,-4
Ashe,238
Avery,116
Beaufort,131
Bertie,-58
Bladen,-295
Brunswick,6593
Buncombe,2210
Burke,237
Cabarrus,3941
Caldwell,351
Camden,159
Carteret,400
Caswell,8
Catawba,912
Chatham,1440
Cherokee,372
Chowan,-66
Clay,181
Cleveland,548
Columbus,-106
Craven,-494
Cumberland,-648
Currituck,720
Dare,430
Davidson,1304
Davie,306
Duplin,-321
Durham,2552
Edgecombe,-468
Forsyth,2067
Franklin,1970
Gaston,1738
Gates,46
Graham,8
Granville,462
Greene,-19
Guilford,3079
Halifax,-459
Harnett,865
Haywood,607
Henderson,1276
Hertford,-138
Hoke,54
Hyde,-73
Iredell,3281
Jackson,348
Johnston,5873
Jones,-168
Lee,360
Lenoir,122
Lincoln,2071
McDowell,368
Macon,666
Madison,131
Martin,-153
Mecklenburg,8717
Mitchell,50
Montgomery,98
Moore,2101
Nash,190
New Hanover,2041
Northampton,-90
Onslow,-1815
Orange,194
Pamlico,171
Pasquotank,146
Pender,955
Perquimans,114
Person,86
Pitt,545
Polk,208
Randolph,462
Richmond,-61
Robeson,-1578
Rockingham,698
Rowan,957
Rutherford,455
Sampson,50
Scotland,66
Stanly,633
Stokes,253
Surry,-32
Swain,100
Transylvania,346
Tyrrell,-83
Union,3134
Vance,-145
Wake,14022
Warren,21
Washington,-162
Watauga,164
Wayne,-328
Wilkes,2
Wilson,413
Yadkin,236
Yancey,225
Adams,-53
Barnes,-75
Benson,-196
Billings,6
Bottineau,-87
Bowman,-45
Burke,12
Burleigh,-70
Cass,242
Cavalier,-55
Dickey,-66
Divide,-2
Dunn,46
Eddy,-18
Emmons,-21
Foster,-3
Golden Valley,-12
Grand Forks,-1358
Grant,-83
Griggs,12
Hettinger,-17
Kidder,17
LaMoure,-42
Logan,-32
McHenry,-67
McIntosh,-49
McKenzie,1226
McLean,-92
Mercer,-86
Morton,162
Mountrail,217
Nelson,22
Oliver,-1
Pembina,-80
Pierce,-82
Ramsey,-104
Ransom,18
Renville,-22
Richland,-116
Rolette,-213
Sargent,34
Sheridan,-33
Sioux,-154
Slope,-19
Stark,326
Steele,-17
Stutsman,-181
Towner,7
Traill,12
Walsh,2
Ward,-681
Wells,-69
Williams,1624
Adams,-16
Allen,-509
Ashland,-229
Ashtabula,-313
Athens,-177
Auglaize,-147
Belmont,-276
Brown,-110
Butler,157
Carroll,-134
Champaign,90
Clark,-332
Clermont,460
Clinton,-126
Columbiana,-383
Coshocton,-46
Crawford,54
Cuyahoga,-7122
Darke,-199
Defiance,-37
Delaware,3225
Erie,-106
Fairfield,1278
Fayette,-147
Franklin,628
Fulton,-199
Gallia,-8
Geauga,-412
Greene,1271
Guernsey,-98
Hamilton,-740
Hancock,-296
Hardin,-101
Harrison,-68
Henry,-137
Highland,64
Hocking,-49
Holmes,-417
Huron,-206
Jackson,42
Jefferson,-167
Knox,314
Lake,350
Lawrence,-119
Licking,943
Logan,292
Lorain,720
Lucas,-2005
Madison,295
Mahoning,60
Marion,-336
Medina,647
Meigs,-92
Mercer,-37
Miami,850
Monroe,-52
Montgomery,-440
Morgan,-47
Morrow,151
Muskingum,58
Noble,79
Ottawa,-44
Paulding,-86
Perry,46
Pickaway,366
Pike,-116
Portage,74
Preble,-107
Putnam,-51
Richland,251
Ross,-211
Sandusky,-199
Scioto,-31
Seneca,-42
Shelby,-205
Stark,-518
Summit,-428
Trumbull,-115
Tuscarawas,-137
Union,895
Van Wert,-21
Vinton,-47
Warren,2206
Washington,-66
Wayne,-377
Williams,-59
Wood,179
Wyandot,-113
Adair,-55
Alfalfa,-56
Atoka,-58
Beaver,-13
Beckham,83
Blaine,-36
Bryan,753
Caddo,-251
Canadian,3135
Carter,-116
Cherokee,31
Choctaw,-14
Cimarron,-40
Cleveland,2221
Coal,-23
Comanche,-313
Cotton,-141
Craig,-81
Creek,-121
Custer,-113
Delaware,378
Dewey,-33
Ellis,-73
Garfield,-283
Garvin,-10
Grady,352
Grant,12
Greer,-101
Harmon,-42
Harper,-25
Haskell,9
Hughes,-12
Jackson,-389
Jefferson,-82
Johnston,84
Kay,-365
Kingfisher,-84
Kiowa,-30
Latimer,-107
Le Flore,-150
Lincoln,67
Logan,640
Love,96
McClain,560
McCurtain,-149
McIntosh,-12
Major,-10
Marshall,173
Mayes,-34
Murray,146
Muskogee,-243
Noble,-143
Nowata,-193
Okfuskee,-62
Oklahoma,2837
Okmulgee,271
Osage,-52
Ottawa,-131
Pawnee,27
Payne,-618
Pittsburg,-108
Pontotoc,36
Pottawatomie,78
Pushmataha,-61
Roger Mills,-77
Rogers,558
Seminole,-213
Sequoyah,20
Stephens,47
Texas,-714
Tillman,-70
Tulsa,1277
Wagoner,1012
Washington,-172
Washita,-95
Woods,-97
Woodward,-126
Baker,149
Benton,499
Clackamas,2363
Clatsop,530
Columbia,114
Coos,553
Crook,585
Curry,308
Deschutes,5446
Douglas,1274
Gilliam,32
Grant,38
Harney,115
Hood River,36
Jackson,1611
Jefferson,474
Josephine,667
Klamath,618
Lake,80
Lane,3717
Lincoln,959
Linn,2087
Malheur,-117
Marion,892
Morrow,164
Multnomah,1501
Polk,948
Sherman,76
Tillamook,399
Umatilla,249
Union,137
Wallowa,160
Wasco,251
Washington,1671
Wheeler,-11
Yamhill,541
Adams,4
Allegheny,-151
Armstrong,-378
Beaver,-77
Bedford,-99
Berks,-177
Blair,-195
Bradford,-377
Bucks,919
Butler,489
Cambria,-745
Cameron,-20
Carbon,225
Centre,-266
Chester,1843
Clarion,-164
Clearfield,-102
Clinton,-33
Columbia,-31
Crawford,-425
Cumberland,1988
Dauphin,673
Delaware,521
Elk,-108
Erie,-1872
Fayette,-469
Forest,22
Franklin,359
Fulton,16
Greene,-361
Huntingdon,-72
Indiana,-231
Jefferson,-128
Juniata,23
Lackawanna,-94
Lancaster,-205
Lawrence,-387
Lebanon,384
Lehigh,41
Luzerne,285
Lycoming,-379
McKean,-184
Mercer,-671
Mifflin,-117
Monroe,1064
Montgomery,3282
Montour,1
Northampton,961
Northumberland,-26
Perry,88
Philadelphia,-4797
Pike,150
Potter,-44
Schuylkill,50
Snyder,-186
Somerset,-120
Sullivan,47
Susquehanna,-110
Tioga,-16
Union,-74
Venango,-305
Warren,-245
Washington,449
Wayne,207
Westmoreland,34
Wyoming,-231
York,491
Bristol,27
Kent,376
Newport,-340
Providence,476
Washington,-109
Abbeville,-14
Aiken,1412
Allendale,-217
Anderson,2200
Bamberg,-133
Barnwell,-203
Beaufort,3049
Berkeley,5576
Calhoun,45
Charleston,4024
Cherokee,205
Chester,9
Chesterfield,-155
Clarendon,112
Colleton,127
Darlington,-34
Dillon,-173
Dorchester,1528
Edgefield,239
Fairfield,70
Florence,-35
Georgetown,804
Greenville,7087
Greenwood,208
Hampton,-83
Horry,10608
Jasper,835
Kershaw,821
Lancaster,2978
Laurens,670
Lee,-362
Lexington,3770
McCormick,156
Marion,-296
Marlboro,-233
Newberry,57
Oconee,1493
Orangeburg,-631
Pickens,1699
Richland,157
Saluda,50
Spartanburg,4914
Sumter,49
Union,79
Williamsburg,-144
York,6440
Aurora,-50
Beadle,-72
Bennett,-131
Bon Homme,-15
Brookings,-241
Brown,-454
Brule,40
Buffalo,-64
Butte,142
Campbell,6
Charles Mix,-91
Clark,-25
Clay,37
Codington,-104
Corson,-125
Custer,183
Davison,-53
Day,-65
Deuel,-13
Dewey,-100
Douglas,-15
Edmunds,-31
Fall River,26
Faulk,-31
Grant,-63
Gregory,-1
Haakon,-11
Hamlin,31
Hand,-59
Hanson,60
Harding,35
Hughes,-225
Hutchinson,-29
Hyde,21
Jackson,2
Jerauld,-13
Jones,-28
Kingsbury,-1
Lake,-276
Lawrence,127
Lincoln,1710
Lyman,-62
McCook,-40
McPherson,-20
Marshall,-18
Meade,78
Mellette,16
Miner,7
Minnehaha,686
Moody,48
Oglala Lakota,-266
Pennington,1240
Perkins,-57
Potter,-47
Roberts,-35
Sanborn,-69
Spink,-121
Stanley,51
Sully,9
Todd,-176
Tripp,-81
Turner,-49
Union,291
Walworth,-54
Yankton,3
Ziebach,14
Anderson,834
Bedford,371
Benton,7
Bledsoe,218
Blount,1913
Bradley,937
Campbell,192
Cannon,213
Carroll,-112
Carter,262
Cheatham,118
Chester,32
Claiborne,205
Clay,-27
Cocke,282
Coffee,603
Crockett,-34
Cumberland,1107
Davidson,-748
Decatur,14
DeKalb,364
Dickson,397
Dyer,-113
Fayette,593
Fentress,274
Franklin,316
Gibson,39
Giles,90
Grainger,255
Greene,153
Grundy,97
Hamblen,253
Hamilton,3006
Hancock,83
Hardeman,-155
Hardin,80
Hawkins,295
Haywood,1
Henderson,140
Henry,192
Hickman,200
Houston,-19
Humphreys,55
Jackson,78
Jefferson,676
Johnson,98
Knox,3445
Lake,-360
Lauderdale,-382
Lawrence,326
Lewis,195
Lincoln,226
Loudon,1112
McMinn,526
McNairy,-31
Macon,251
Madison,177
Marion,341
Marshall,500
Maury,1797
Meigs,146
Monroe,367
Montgomery,1591
Moore,22
Morgan,-101
Obion,-116
Overton,256
Perry,28
Pickett,28
Polk,-17
Putnam,1512
Rhea,272
Roane,377
Robertson,429
Rutherford,5590
Scott,72
Sequatchie,137
Sevier,399
Shelby,-3609
Smith,187
Stewart,135
Sullivan,1202
Sumner,3316
Tipton,-29
Trousdale,234
Unicoi,169
Union,295
Van Buren,95
Warren,450
Washington,860
Wayne,111
Weakley,-34
White,335
Williamson,5409
Wilson,3226
Anderson,-72
Andrews,597
Angelina,-167
Aransas,236
Archer,-72
Armstrong,10
Atascosa,559
Austin,15
Bailey,-100
Bandera,373
Bastrop,1761
Baylor,-49
Bee,13
Bell,3860
Bexar,9832
Blanco,337
Borden,6
Bosque,123
Bowie,-514
Brazoria,3196
Brazos,1954
Brewster,-85
Briscoe,30
Brooks,-31
Brown,104
Burleson,115
Burnet,832
Caldwell,318
Calhoun,-259
Callahan,-16
Cameron,-2396
Camp,65
Carson,-68
Cass,24
Castro,-105
Chambers,1325
Cherokee,97
Childress,-26
Clay,70
Cochran,-9
Coke,44
Coleman,-157
Collin,24052
Collingsworth,-16
Colorado,178
Comal,7685
Comanche,138
Concho,48
Cooke,639
Coryell,778
Cottle,16
Crane,7
Crockett,17
Crosby,-26
Culberson,-36
Dallam,-141
Dallas,-15147
Dawson,70
Deaf Smith,-327
Delta,-5
Denton,22716
DeWitt,57
Dickens,-4
Dimmit,-110
Donley,-32
Duval,-9
Eastland,99
Ector,2562
Edwards,20
Ellis,4880
El Paso,-3651
Erath,329
Falls,47
Fannin,446
Fayette,123
Fisher,20
Floyd,-89
Foard,-31
Fort Bend,17847
Franklin,-32
Freestone,-66
Frio,1
Gaines,362
Galveston,3278
Garza,-32
Gillespie,409
Glasscock,11
Goliad,60
Gonzales,-16
Gray,-171
Grayson,2283
Gregg,379
Grimes,529
Guadalupe,2887
Hale,-354
Hall,-58
Hamilton,10
Hansford,-112
Hardeman,12
Hardin,431
Harris,-5560
Harrison,-53
Hartley,-72
Haskell,-16
Hays,5963
Hemphill,-48
Henderson,845
Hidalgo,-3056
Hill,506
Hockley,-55
Hood,1567
Hopkins,287
Houston,-8
Howard,649
Hudspeth,76
Hunt,1759
Hutchinson,-224
Irion,17
Jack,102
Jackson,-140
Jasper,-231
Jeff Davis,34
Jefferson,-2464
Jim Hogg,9
Jim Wells,-377
Johnson,4000
Jones,219
Karnes,-68
Kaufman,7120
Kendall,1816
Kenedy,-39
Kent,39
Kerr,403
Kimble,16
King,-8
Kinney,-22
Kleberg,-200
Knox,-2
Lamar,174
Lamb,-236
Lampasas,299
La Salle,-24
Lavaca,59
Lee,99
Leon,159
Liberty,2043
Limestone,120
Lipscomb,-113
Live Oak,38
Llano,379
Loving,20
Lubbock,1616
Lynn,76
McCulloch,25
McLennan,1197
McMullen,13
Madison,-111
Marion,9
Martin,57
Mason,22
Matagorda,-72
Maverick,-204
Medina,582
Menard,28
Midland,2452
Milam,-203
Mills,32
Mitchell,-15
Montague,288
Montgomery,14365
Moore,-386
Morris,99
Motley,-28
Nacogdoches,-123
Navarro,437
Newton,-94
Nolan,-100
Nueces,-1225
Ochiltree,-106
Oldham,-19
Orange,-150
Palo Pinto,306
Panola,68
Parker,4404
Parmer,-200
Pecos,24
Polk,1531
Potter,-1805
Presidio,-202
Rains,359
Randall,1540
Reagan,75
Real,-4
Red River,-59
Reeves,381
Refugio,-66
Roberts,-45
Robertson,-186
Rockwall,3935
Runnels,106
Rusk,104
Sabine,12
San Augustine,24
San Jacinto,159
San Patricio,-272
San Saba,9
Schleicher,-81
Scurry,-130
Shackelford,11
Shelby,-75
Sherman,-104
Smith,2212
Somervell,118
Starr,-397
Stephens,-50
Sterling,-7
Stonewall,3
Sutton,15
Swisher,-29
Tarrant,7402
Taylor,107
Terrell,-31
Terry,-69
Throckmorton,-5
Titus,-204
Tom Green,756
Travis,18260
Trinity,57
Tyler,145
Upshur,562
Upton,-4
Uvalde,-171
Val Verde,-344
Van Zandt,649
Victoria,-131
Walker,-168
Waller,1384
Ward,186
Washington,407
Webb,-1831
Wharton,-85
Wheeler,-93
Wichita,205
Wilbarger,-18
Willacy,-163
Williamson,20312
Wilson,757
Winkler,152
Wise,1544
Wood,625
Yoakum,24
Young,61
Zapata,-75
Zavala,-177
Beaver,33
Box Elder,706
Cache,254
Carbon,182
Daggett,-30
Davis,710
Duchesne,-230
Emery,-8
Garfield,37
Grand,41
Iron,1645
Juab,259
Kane,197
Millard,103
Morgan,71
Piute,41
Rich,7
Salt Lake,1988
San Juan,-108
Sanpete,251
Sevier,3
Summit,-2
Tooele,1598
Uintah,25
Utah,5214
Wasatch,713
Washington,5085
Wayne,34
Weber,2348
Addison,-52
Bennington,75
Caledonia,-238
Chittenden,-93
Essex,-63
Franklin,-31
Grand Isle,114
Lamoille,22
Orange,33
Orleans,213
Rutland,-234
Washington,329
Windham,-336
Windsor,-38
Accomack,-156
Albemarle,789
Alleghany,-8
Amelia,89
Amherst,1
Appomattox,33
Arlington,-1053
Augusta,252
Bath,-74
Bedford,308
Bland,17
Botetourt,202
Brunswick,-21
Buchanan,-241
Buckingham,136
Campbell,-152
Caroline,-79
Carroll,236
Charles City,4
Charlotte,-21
Chesterfield,3289
Clarke,129
Craig,51
Culpeper,618
Cumberland,110
Dickenson,-126
Dinwiddie,-3
Essex,66
Fairfax,-9068
Fauquier,465
Floyd,9
Fluvanna,296
Franklin,80
Frederick,946
Giles,-27
Gloucester,123
Goochland,566
Grayson,0
Greene,50
Greensville,-77
Halifax,-121
Hanover,829
Henrico,805
Henry,-147
Highland,-4
Isle of Wight,163
James City,553
King and Queen,15
King George,107
King William,167
Lancaster,52
Lee,-102
Loudoun,4605
Louisa,799
Lunenburg,25
Madison,13
Mathews,104
Mecklenburg,134
Middlesex,-91
Montgomery,-136
Nelson,81
New Kent,702
Northampton,18
Northumberland,21
Nottoway,-114
Orange,346
Page,-13
Patrick,33
Pittsylvania,-270
Powhatan,438
Prince Edward,-77
Prince George,295
Prince William,-265
Pulaski,112
Rappahannock,44
Richmond,87
Roanoke,469
Rockbridge,-51
Rockingham,606
Russell,-79
Scott,22
Shenandoah,177
Smyth,-149
Southampton,2
Spotsylvania,1743
Stafford,2109
Surry,-30
Sussex,-39
Tazewell,-249
Warren,96
Washington,-78
Westmoreland,239
Wise,-349
Wythe,87
York,238
Alexandria City,-1407
Bristol City,186
Buena Vista City,-32
Charlottesville City,-497
Chesapeake City,1552
Colonial Heights City,-205
Covington City,-33
Danville City,-389
Emporia City,6
Fairfax City,-175
Falls Church City,30
Franklin City,-167
Fredericksburg City,-363
Galax City,48
Hampton City,-194
Harrisonburg City,-775
Hopewell City,2
Lexington City,91
Lynchburg City,453
Manassas City,-503
Manassas Park City,-216
Martinsville City,-17
Newport News City,-383
Norfolk City,-2069
Norton City,17
Petersburg City,100
Poquoson City,110
Portsmouth City,-706
Radford City,102
Richmond City,231
Roanoke City,40
Salem City,41
Staunton City,378
Suffolk City,838
Virginia Beach City,-2071
Waynesboro City,-7
Williamsburg City,-50
Winchester City,36
Adams,-41
Asotin,11
Benton,1996
Chelan,286
Clallam,1206
Clark,4986
Columbia,-49
Cowlitz,1686
Douglas,464
Ferry,8
Franklin,104
Garfield,-14
Grant,296
Grays Harbor,1407
Island,759
Jefferson,688
King,13185
Kitsap,1544
Kittitas,457
Klickitat,289
Lewis,1152
Lincoln,226
Mason,1388
Okanogan,115
Pacific,555
Pend Oreille,181
Pierce,6992
San Juan,501
Skagit,1200
Skamania,158
Snohomish,4871
Spokane,8083
Stevens,554
Thurston,3713
Wahkiakum,87
Walla Walla,113
Whatcom,3490
Whitman,272
Yakima,-1340
Barbour,-7
Berkeley,1615
Boone,-423
Braxton,-68
Brooke,-84
Cabell,-1013
Calhoun,-71
Clay,-110
Doddridge,-81
Fayette,-306
Gilmer,-43
Grant,-59
Greenbrier,33
Hampshire,-126
Hancock,-71
Hardy,28
Harrison,-52
Jackson,-32
Jefferson,178
Kanawha,-1651
Lewis,-25
Lincoln,-68
Logan,-453
McDowell,-443
Marion,62
Marshall,-177
Mason,-129
Mercer,-211
Mineral,11
Mingo,-361
Monongalia,-377
Monroe,42
Morgan,121
Nicholas,-232
Ohio,-107
Pendleton,-14
Pleasants,-38
Pocahontas,-108
Preston,-63
Putnam,-98
Raleigh,-478
Randolph,-51
Ritchie,-119
Roane,-163
Summers,-40
Taylor,-62
Tucker,-28
Tyler,-115
Upshur,-133
Wayne,-354
Webster,-113
Wetzel,-91
Wirt,16
Wood,-453
Wyoming,-227
Adams,9
Ashland,-37
Barron,80
Bayfield,93
Brown,6
Buffalo,-86
Burnett,84
Calumet,-162
Chippewa,473
Clark,-186
Columbia,115
Crawford,-104
Dane,2350
Dodge,112
Door,231
Douglas,40
Dunn,171
Eau Claire,-103
Florence,22
Fond du Lac,253
Forest,33
Grant,-93
Green,41
Green Lake,78
Iowa,-100
Iron,58
Jackson,115
Jefferson,-422
Juneau,79
Kenosha,179
Kewaunee,36
La Crosse,-183
Lafayette,-61
Langlade,3
Lincoln,-54
Manitowoc,31
Marathon,-88
Marinette,63
Marquette,188
Menominee,-53
Milwaukee,-5942
Monroe,-11
Oconto,129
Oneida,294
Outagamie,152
Ozaukee,153
Pepin,-2
Pierce,74
Polk,259
Portage,-233
Price,19
Racine,-637
Richland,-123
Rock,81
Rusk,94
St. Croix,651
Sauk,5
Sawyer,148
Shawano,57
Sheboygan,-35
Taylor,-45
Trempealeau,-16
Vernon,-34
Vilas,393
Walworth,343
Washburn,-23
Washington,475
Waukesha,1451
Waupaca,76
Waushara,216
Winnebago,748
Wood,-25
Albany,6
Big Horn,-98
Campbell,-235
Carbon,-136
Converse,123
Crook,107
Fremont,-319
Goshen,-72
Hot Springs,-121
Johnson,23
Laramie,243
Lincoln,302
Natrona,464
Niobrara,-57
Park,-26
Platte,-87
Sheridan,303
Sublette,24
Sweetwater,-727
Teton,42
Uinta,-186
Washakie,-65
Weston,18
