County_Name,pct_smokers
Effingham,16
Elbert,17
Emanuel,21
Evans,19
Fannin,15
Fayette,12
Floyd,17
Forsyth,12
Franklin,18
Fulton,14
Gilmer,15
Glascock,17
Glynn,16
Gordon,18
Grady,19
Greene,16
Gwinnett,14
Habersham,16
Hall,15
Hancock,21
Haralson,17
Harris,13
Hart,17
Heard,17
Henry,15
Houston,17
Irwin,20
Jackson,15
Jasper,19
Jeff Davis,19
Jefferson,20
Jenkins,22
Johnson,18
Jones,16
Lamar,17
Lanier,20
Laurens,20
Lee,15
Liberty,18
Lincoln,17
Long,19
Lowndes,19
Lumpkin,17
McDuffie,19
McIntosh,17
Macon,21
Madison,17
Marion,18
Meriwether,18
Miller,18
Mitchell,20
Monroe,15
Montgomery,17
Morgan,15
Murray,17
Muscogee,20
Newton,17
Oconee,13
Oglethorpe,16
Paulding,15
Peach,17
Pickens,14
Pierce,18
Pike,14
Polk,17
Pulaski,18
Putnam,16
Quitman,18
Rabun,17
Randolph,21
Richmond,19
Rockdale,18
Schley,18
Screven,19
Seminole,17
Spalding,18
Stephens,17
Stewart,23
Sumter,20
Talbot,17
Taliaferro,20
Tattnall,20
Taylor,21
Telfair,20
Terrell,21
Thomas,17
Tift,18
Toombs,19
Towns,13
Treutlen,18
Troup,18
Turner,18
Twiggs,20
Union,13
Upson,18
Walker,17
Walton,17
Ware,19
Warren,19
Washington,20
Wayne,18
Webster,17
Wheeler,23
White,16
Whitfield,17
Wilcox,20
Wilkes,19
Wilkinson,18
Worth,18
Hawaii,14
Honolulu,10
Kalawao,12
Kauai,12
Maui,12
Ada,11
Adams,14
Bannock,14
Bear Lake,13
Benewah,15
Bingham,14
Blaine,12
Boise,12
Bonner,13
Bonneville,13
Boundary,14
Butte,13
Camas,15
Canyon,14
Caribou,12
Cassia,13
Clark,17
Clearwater,13
Custer,14
Elmore,15
Franklin,13
Fremont,13
Gem,14
Gooding,14
Idaho,14
Jefferson,13
Jerome,14
Kootenai,14
Latah,13
Lemhi,15
Lewis,14
Lincoln,14
Madison,15
Minidoka,13
Nez Perce,14
Oneida,12
Owyhee,15
Payette,14
Power,14
Shoshone,14
Teton,13
Twin Falls,13
Valley,11
Washington,15
Adams,15
Alexander,21
Bond,16
Boone,15
Brown,16
Bureau,14
Calhoun,14
Carroll,14
Cass,15
Champaign,15
Christian,15
Clark,16
Clay,15
Clinton,15
Coles,18
Cook,13
Crawford,15
Cumberland,15
DeKalb,15
De Witt,15
Douglas,15
DuPage,12
Edgar,15
Edwards,14
Effingham,15
Fayette,17
Ford,16
Franklin,17
Fulton,16
Gallatin,17
Greene,16
Grundy,14
Hamilton,16
Hancock,14
Hardin,17
Henderson,14
Henry,14
Iroquois,15
Jackson,18
Jasper,14
Jefferson,17
Jersey,14
Jo Daviess,13
Johnson,16
Kane,13
Kankakee,16
Kendall,13
Knox,17
Lake,13
LaSalle,16
Lawrence,17
Lee,16
Livingston,15
Logan,14
McDonough,16
McHenry,13
McLean,14
Macon,16
Macoupin,15
Madison,16
Marion,17
Marshall,14
Mason,16
Massac,16
Menard,14
Mercer,15
Monroe,12
Montgomery,16
Morgan,16
Moultrie,15
Ogle,15
Peoria,16
Perry,16
Piatt,13
Pike,16
Pope,14
Pulaski,19
Putnam,13
Randolph,17
Richland,16
Rock Island,16
St. Clair,17
Saline,18
Sangamon,16
Schuyler,16
Scott,16
Shelby,15
Stark,15
Stephenson,16
Tazewell,15
Union,16
Vermilion,17
Wabash,15
Warren,15
Washington,14
Wayne,16
White,15
Whiteside,15
Will,13
Williamson,16
Winnebago,17
Woodford,13
Adams,20
Allen,19
Bartholomew,18
Benton,20
Blackford,19
Boone,16
Brown,18
Carroll,18
Cass,20
Clark,22
Clay,19
Clinton,19
Crawford,22
Daviess,20
Dearborn,20
Decatur,18
DeKalb,19
Delaware,20
Dubois,16
Elkhart,19
Fayette,22
Floyd,21
Fountain,20
Franklin,19
Fulton,19
Gibson,19
Grant,21
Greene,20
Hamilton,13
Hancock,16
Harrison,20
Hendricks,16
Henry,20
Howard,21
Huntington,18
Jackson,21
Jasper,19
Jay,21
Jefferson,23
Jennings,21
Johnson,18
Knox,20
Kosciusko,19
LaGrange,18
Lake,18
LaPorte,22
Lawrence,19
Madison,21
Marion,19
Marshall,20
Martin,20
Miami,24
Monroe,19
Montgomery,19
Morgan,19
Newton,20
Noble,18
Ohio,16
Orange,21
Owen,20
