County_Name,median_household_income
Volusia,50285
Wakulla,58203
Walton,60973
Washington,39225
Appling,42781
Atkinson,36779
Bacon,38775
Baker,38288
Baldwin,42727
Banks,55384
Barrow,61413
Bartow,57409
Ben Hill,35020
Berrien,39412
Bibb,41390
Bleckley,46019
Brantley,41874
Brooks,36354
Bryan,79658
Bulloch,43766
Burke,42785
Butts,48831
Calhoun,33393
Camden,56555
Candler,35841
Carroll,52502
Catoosa,55807
Charlton,40499
Chatham,54165
Chattahoochee,46869
Chattooga,39513
Cherokee,82733
Clarke,42112
Clay,30239
Clayton,46059
Clinch,37593
Cobb,78603
Coffee,39480
Colquitt,38633
Columbia,82184
Cook,38827
Coweta,70974
Crawford,48004
Crisp,36096
Dade,48779
Dawson,68835
Decatur,38441
DeKalb,63477
Dodge,35636
Dooly,37278
Dougherty,38806
Douglas,60512
Early,34984
Echols,38667
Effingham,65793
Elbert,39681
Emanuel,37574
Evans,37319
Fannin,43439
Fayette,95021
Floyd,44906
Forsyth,105921
Franklin,42904
Fulton,70808
Gilmer,47757
Glascock,42820
Glynn,53906
Gordon,49101
Grady,41002
Greene,54016
Gwinnett,72008
Habersham,51829
Hall,61631
Hancock,31716
Haralson,47662
Harris,74686
Hart,47171
Heard,46218
Henry,72970
Houston,60728
Irwin,38156
Jackson,68984
Jasper,51241
Jeff Davis,37211
Jefferson,38274
Jenkins,31419
Johnson,34849
Jones,55737
Lamar,48323
Lanier,41564
Laurens,42114
Lee,66090
Liberty,47685
Lincoln,46967
Long,46428
Lowndes,41820
Lumpkin,55583
McDuffie,42768
McIntosh,42513
Macon,32868
Madison,51338
Marion,39114
Meriwether,38886
Miller,42483
Mitchell,36788
Monroe,59362
Montgomery,41834
Morgan,57978
Murray,46810
Muscogee,46628
Newton,56598
Oconee,99497
Oglethorpe,51105
Paulding,73309
Peach,46525
Pickens,65062
Pierce,44389
Pike,66901
Polk,43679
Pulaski,40582
Putnam,51205
Quitman,33908
Rabun,44213
Randolph,28298
Richmond,40168
Rockdale,59673
Schley,45378
Screven,39048
Seminole,36869
Spalding,43510
Stephens,45850
Stewart,33053
Sumter,37562
Talbot,37265
Taliaferro,34090
Tattnall,41440
Taylor,36310
Telfair,34297
Terrell,35290
Thomas,41642
Tift,45680
Toombs,37148
Towns,45853
Treutlen,35069
Troup,45234
Turner,33261
Twiggs,42054
Union,45943
Upson,40965
Walker,43767
Walton,65416
Ware,38357
Warren,38352
Washington,39444
Wayne,44607
Webster,38187
Wheeler,32691
White,51579
Whitfield,47074
Wilcox,35961
Wilkes,39361
Wilkinson,41036
Worth,48708
Hawaii,56383
Honolulu,83695
Kalawao,
Kauai,73981
Maui,78503
Ada,66827
Adams,45311
Bannock,51300
Bear Lake,53780
Benewah,48451
Bingham,50941
Blaine,76113
Boise,56837
Bonner,51373
Bonneville,60444
Boundary,47118
Butte,50050
Camas,53866
Canyon,53381
Caribou,61219
Cassia,51804
Clark,48471
Clearwater,46417
Custer,47682
Elmore,49344
Franklin,58170
Fremont,51155
Gem,49857
Gooding,51302
Idaho,40569
Jefferson,61927
Jerome,54020
Kootenai,56188
Latah,49538
Lemhi,44248
Lewis,44911
Lincoln,50464
Madison,41827
Minidoka,53447
Nez Perce,54476
Oneida,52602
Owyhee,48192
Payette,51835
Power,51921
Shoshone,36085
Teton,68749
Twin Falls,51594
Valley,60285
Washington,43402
Adams,55174
Alexander,35249
Bond,54800
Boone,74507
Brown,55327
Bureau,56099
Calhoun,56099
Carroll,51963
Cass,52486
Champaign,53251
Christian,52936
Clark,54092
Clay,45427
Clinton,66597
Coles,47291
Cook,63347
Crawford,52313
Cumberland,60572
DeKalb,63274
De Witt,55300
Douglas,56976
DuPage,93540
Edgar,51577
Edwards,51280
Effingham,60773
Fayette,47484
Ford,55357
Franklin,42071
Fulton,51258
Gallatin,43330
Greene,47314
Grundy,79348
Hamilton,53028
Hancock,53553
Hardin,41713
Henderson,53632
Henry,58042
Iroquois,55247
Jackson,41445
Jasper,54552
Jefferson,47425
Jersey,59117
Jo Daviess,56832
Johnson,53884
Kane,79834
Kankakee,53884
Kendall,93345
Knox,44553
Lake,87336
LaSalle,54063
Lawrence,43767
Lee,54915
Livingston,59323
Logan,52959
McDonough,42887
McHenry,86268
McLean,67087
Macon,50684
Macoupin,53409
Madison,60121
Marion,46096
Marshall,57422
Mason,48764
Massac,43783
Menard,74872
Mercer,58384
Monroe,88481
Montgomery,53138
Morgan,48976
Moultrie,59901
Ogle,61794
Peoria,56478
Perry,49965
Piatt,67460
Pike,47815
Pope,43053
Pulaski,38400
Putnam,66319
Randolph,53607
Richland,48152
Rock Island,52642
St. Clair,58222
Saline,40761
Sangamon,62242
Schuyler,52018
Scott,55198
Shelby,56509
Stark,52651
Stephenson,47357
Tazewell,61508
Union,49716
Vermilion,44638
Wabash,53414
Warren,53532
Washington,66937
Wayne,50471
White,49507
Whiteside,57197
Will,86108
Williamson,46187
Winnebago,53795
Woodford,72247
Adams,56693
Allen,54473
Bartholomew,63067
Benton,51649
Blackford,45161
Boone,85876
Brown,60944
Carroll,57092
Cass,48598
Clark,56774
Clay,52699
Clinton,51730
Crawford,44152
Daviess,55434
Dearborn,66502
Decatur,57441
DeKalb,58987
Delaware,43096
Dubois,62126
Elkhart,59251
Fayette,47737
Floyd,64992
Fountain,53493
Franklin,62251
Fulton,52798
Gibson,56960
Grant,45138
Greene,46835
Hamilton,101740
Hancock,73831
Harrison,60379
Hendricks,80834
Henry,50183
Howard,55365
Huntington,53809
Jackson,55518
Jasper,66720
Jay,48392
Jefferson,51031
Jennings,51560
Johnson,69880
Knox,48606
Kosciusko,57367
LaGrange,67498
Lake,55280
LaPorte,52095
Lawrence,53187
Madison,49522
Marion,48409
Marshall,55766
Martin,55444
Miami,47624
Monroe,48883
Montgomery,53700
Morgan,66151
Newton,53060
Noble,61341
Ohio,58022
Orange,44968
Owen,49731
Parke,49639
Perry,52332
Pike,54265
Porter,69298
Posey,68162
Pulaski,49730
Putnam,54718
Randolph,46441
Ripley,57436
Rush,53271
St. Joseph,54674
Scott,44913
Shelby,57193
Spencer,56862
Starke,49972
Steuben,58295
Sullivan,47554
Switzerland,47713
Tippecanoe,52269
Tipton,60896
Union,50300
Vanderburgh,50500
Vermillion,49287
Vigo,48335
Wabash,51487
Warren,60596
Warrick,75534
Washington,44534
Wayne,45130
Wells,60010
White,58380
Whitley,67758
Adair,54282
Adams,51577
Allamakee,53359
Appanoose,44298
Audubon,51210
Benton,62799
Black Hawk,52320
Boone,63099
Bremer,74646
Buchanan,59724
Buena Vista,52683
Butler,57971
Calhoun,54865
Carroll,60531
Cass,50356
Cedar,67597
Cerro Gordo,51939
Cherokee,56312
Chickasaw,64190
Clarke,52541
Clay,56338
Clayton,53968
Clinton,51317
Crawford,54828
Dallas,87267
Davis,54830
Decatur,41101
Delaware,61342
Des Moines,51805
Dickinson,55603
Dubuque,60367
Emmet,51497
Fayette,50893
Floyd,53811
Franklin,59367
Fremont,54658
Greene,51861
Grundy,65060
Guthrie,60306
Hamilton,56738
Hancock,60859
Hardin,55303
Harrison,60044
Henry,55856
Howard,53500
Humboldt,60166
Ida,60312
Iowa,64188
Jackson,54663
Jasper,60378
Jefferson,46715
Johnson,64387
Jones,55405
Keokuk,52122
Kossuth,55486
Lee,48241
Linn,64878
Louisa,49585
Lucas,49956
Lyon,69048
Madison,74794
Mahaska,56492
Marion,63491
Marshall,59552
Mills,64271
Mitchell,59558
Monona,50530
Monroe,56541
Montgomery,49966
Muscatine,58465
O'Brien,53147
Osceola,60627
Page,54313
Palo Alto,55322
Plymouth,66360
Pocahontas,55865
Polk,68479
Pottawattamie,56337
Poweshiek,56170
Ringgold,48754
Sac,56698
Scott,59865
Shelby,58862
Sioux,70162
Story,57464
Tama,56954
Taylor,47781
Union,49887
Van Buren,47905
Wapello,48226
Warren,78192
Washington,65849
Wayne,46725
Webster,52093
Winnebago,54433
Winneshiek,61807
Woodbury,60059
Worth,58587
Wright,54802
Allen,44423
Anderson,50646
Atchison,49332
Barber,47634
Barton,49991
Bourbon,41807
Brown,47529
Butler,65953
Chase,50981
Chautauqua,41129
Cherokee,44475
Cheyenne,43274
Clark,51235
Clay,52681
Cloud,44467
Coffey,58371
Comanche,46818
Cowley,47864
Crawford,43852
Decatur,44774
Dickinson,50605
Doniphan,50949
Douglas,57120
Edwards,46962
Elk,37360
Ellis,53840
Ellsworth,50261
Finney,56206
Ford,56052
Franklin,58033
Geary,50856
Gove,49626
Graham,41906
Grant,61614
Gray,65771
Greeley,51606
Greenwood,43083
Hamilton,51559
Harper,45570
Harvey,57934
Haskell,60808
Hodgeman,54058
Jackson,56330
Jefferson,69246
Jewell,44271
Johnson,87087
Kearny,63248
Kingman,56005
Kiowa,64399
Labette,44571
Lane,59240
Leavenworth,70807
Lincoln,44439
Linn,47153
Logan,50267
Lyon,47982
McPherson,58017
Marion,51712
Marshall,51066
Meade,67220
Miami,71770
Mitchell,51514
Montgomery,42479
Morris,49287
Morton,53785
Nemaha,59567
Neosho,46176
Ness,51757
Norton,47252
Osage,53864
Osborne,46101
Ottawa,56451
Pawnee,47039
Phillips,47405
Pottawatomie,69975
Pratt,52567
Rawlins,46638
Reno,49341
Republic,48566
Rice,51686
Riley,47057
Rooks,47365
Rush,44121
Russell,45879
Saline,53961
Scott,63790
Sedgwick,56381
Seward,50671
Shawnee,53612
Sheridan,50553
Sherman,45966
Smith,41899
Stafford,47835
Stanton,60136
Stevens,58817
Sumner,56946
Thomas,55345
Trego,48520
Wabaunsee,59744
Wallace,51350
Washington,48104
Wichita,59800
Wilson,45697
Woodson,43894
Wyandotte,47084
Adair,37392
Allen,44624
Anderson,60908
Ballard,47658
Barren,42439
Bath,44183
Bell,29362
Boone,77696
Bourbon,48614
Boyd,48020
Boyle,47528
Bracken,56432
Breathitt,31182
Breckinridge,47284
Bullitt,61022
Butler,43048
Caldwell,43659
Calloway,41873
Campbell,60904
Carlisle,41249
Carroll,47623
Carter,32906
Casey,34358
Christian,40299
Clark,50162
Clay,28146
Clinton,31118
Crittenden,43624
Cumberland,33541
Daviess,51441
Edmonson,43151
Elliott,35446
Estill,35701
Fayette,55358
Fleming,42571
Floyd,33218
Franklin,53134
Fulton,32355
Gallatin,49060
Garrard,51203
Grant,53965
Graves,46785
Grayson,40780
Green,36782
Greenup,49457
Hancock,56769
Hardin,52278
Harlan,29521
Harrison,51709
Hart,37038
Henderson,51161
Henry,53405
Hickman,44290
Hopkins,45512
Jackson,35317
Jefferson,55860
Jessamine,59443
Johnson,39381
Kenton,64644
Knott,32228
Knox,30742
Larue,45458
Laurel,41425
Lawrence,36667
Lee,29124
Leslie,31921
Letcher,32321
Lewis,35751
Lincoln,42190
Livingston,48182
Logan,46742
Lyon,48395
McCracken,48950
McCreary,30029
McLean,48080
Madison,51897
Magoffin,30950
Marion,45661
Marshall,52388
Martin,28925
Mason,41807
Meade,57613
Menifee,34002
Mercer,53921
Metcalfe,35906
Monroe,35596
Montgomery,46629
Morgan,35848
Muhlenberg,43722
Nelson,55602
Nicholas,41428
Ohio,44751
Oldham,102136
Owen,48998
Owsley,26278
Pendleton,54583
Perry,33108
Pike,37124
Powell,37776
Pulaski,41541
Robertson,45146
Rockcastle,37732
Rowan,41196
Russell,34648
Scott,73500
Shelby,66056
Simpson,51769
Spencer,85899
Taylor,45429
Todd,51027
Trigg,49767
Trimble,51674
Union,47067
Warren,53478
Washington,50246
Wayne,33701
Webster,47132
Whitley,36863
Wolfe,30144
Woodford,66164
Acadia,40484
Allen,44395
Ascension,77758
Assumption,48120
Avoyelles,37731
Beauregard,57005
Bienville,34047
Bossier,56754
Caddo,40467
Calcasieu,50531
Caldwell,40842
Cameron,57299
Catahoula,35812
Claiborne,33659
Concordia,35840
De Soto,44457
East Baton Rouge,52945
East Carroll,27714
East Feliciana,45174
Evangeline,34113
Franklin,34446
Grant,43502
Iberia,42909
Iberville,47917
Jackson,40828
Jefferson,50871
Jefferson Davis,44492
Lafayette,57821
Lafourche,52651
La Salle,45742
Lincoln,36525
Livingston,63088
Madison,28452
Morehouse,34023
Natchitoches,36298
Orleans,38855
Ouachita,44371
Plaquemines,58643
Pointe Coupee,46603
Rapides,48116
Red River,36865
Richland,35103
Sabine,36423
St. Bernard,43983
St. Charles,67585
St. Helena,38699
St. James,53903
St. John the Baptist,50830
St. Landry,36624
St. Martin,46229
St. Mary,39764
St. Tammany,67054
Tangipahoa,47128
Tensas,28962
Terrebonne,51665
Union,43584
Vermilion,48263
Vernon,47664
Washington,36850
Webster,35070
West Baton Rouge,58205
West Carroll,39332
West Feliciana,60296
Winn,40133
Androscoggin,49935
Aroostook,39450
Cumberland,71586
Franklin,49561
Hancock,52148
Kennebec,52154
Knox,56678
Lincoln,56211
Oxford,44243
Penobscot,47840
Piscataquis,40066
Sagadahoc,65969
Somerset,43755
Waldo,49482
Washington,39522
York,65984
Allegany,43535
Anne Arundel,97051
Baltimore,75836
Calvert,106270
Caroline,56627
Carroll,95956
Cecil,72739
Charles,92616
Dorchester,48682
Frederick,95196
Garrett,49147
Harford,87959
Howard,116719
Kent,55514
Montgomery,107758
Prince George's,82445
Queen Anne's,93751
St. Mary's,89964
Somerset,42098
Talbot,64245
Washington,62556
Wicomico,54313
Worcester,59266
Baltimore City,50501
Barnstable,69001
Berkshire,58375
Bristol,66005
Dukes,70224
Essex,76373
Franklin,58992
Hampden,52682
Hampshire,74456
Middlesex,100374
Nantucket,97525
Norfolk,100184
Plymouth,89678
Suffolk,68743
Worcester,71767
Alcona,39862
Alger,47441
Allegan,62247
Alpena,42792
Antrim,56456
Arenac,42540
Baraga,43435
Barry,64121
Bay,50576
Benzie,51905
Berrien,51509
Branch,50477
Calhoun,48413
Cass,55978
Charlevoix,54491
Cheboygan,48589
Chippewa,47380
Clare,39394
Clinton,70967
Crawford,46930
Delta,49292
Dickinson,52348
Eaton,66716
Emmet,58891
Genesee,48370
Gladwin,44635
Gogebic,39934
Grand Traverse,64591
Gratiot,48988
Hillsdale,50388
Houghton,42282
Huron,45817
Ingham,52837
Ionia,61667
Iosco,41256
Iron,40959
Isabella,47056
Jackson,52047
Kalamazoo,55881
Kalkaska,46068
Kent,61675
Keweenaw,51641
Lake,36044
Lapeer,65209
Leelanau,67349
Lenawee,55762
Livingston,84048
Luce,43196
Mackinac,46645
Macomb,62191
Manistee,47401
Marquette,54093
Mason,51083
Mecosta,45804
Menominee,46486
Midland,58057
Missaukee,48413
Monroe,62522
Montcalm,50396
Montmorency,40650
Muskegon,49960
Newaygo,48860
Oakland,80319
Oceana,50374
Ogemaw,41201
Ontonagon,40798
Osceola,45607
Oscoda,38927
Otsego,51292
Ottawa,70420
Presque Isle,45502
Roscommon,38613
Saginaw,48805
St. Clair,56557
St. Joseph,52689
Sanilac,46184
Schoolcraft,44887
Shiawassee,54149
Tuscola,51113
Van Buren,57363
Washtenaw,72267
Wayne,46440
Wexford,46396
Aitkin,44016
Anoka,82284
Becker,59440
Beltrami,47073
Benton,61341
Big Stone,51058
Blue Earth,58132
Brown,60626
Carlton,60412
Carver,104248
Cass,48651
Chippewa,53540
Chisago,82814
Clay,65914
Clearwater,51475
Cook,54465
Cottonwood,51788
Crow Wing,53481
Dakota,86403
Dodge,75955
Douglas,60979
Faribault,52560
Fillmore,58761
Freeborn,52010
Goodhue,67039
Grant,54917
Hennepin,76067
Houston,59613
Hubbard,55687
Isanti,73468
Itasca,53143
Jackson,57786
Kanabec,56950
Kandiyohi,60579
Kittson,54438
Koochiching,46281
Lac qui Parle,52445
Lake,61015
Lake of the Woods,52058
Le Sueur,67269
Lincoln,51305
Lyon,57690
McLeod,61959
Mahnomen,43162
Marshall,58105
Martin,50821
Meeker,66557
Mille Lacs,53289
Morrison,57471
Mower,53387
Murray,59938
Nicollet,66209
Nobles,55766
Norman,48799
Olmsted,76001
Otter Tail,53778
Pennington,57494
Pine,50387
Pipestone,55378
Polk,60180
Pope,60975
Ramsey,62937
Red Lake,54412
Redwood,56760
Renville,59787
Rice,67024
Rock,63503
Roseau,60239
St. Louis,53833
Scott,101427
Sherburne,81850
Sibley,66209
Stearns,60843
Steele,65323
Stevens,61929
Swift,51552
Todd,58113
Traverse,49773
Wabasha,63633
Wadena,46312
Waseca,58335
Washington,95840
Watonwan,51962
Wilkin,61387
Winona,56076
Wright,87377
Yellow Medicine,56528
Adams,33392
Alcorn,40010
Amite,38092
Attala,36761
Benton,35184
Bolivar,33116
Calhoun,39176
Carroll,42588
Chickasaw,37429
Choctaw,38479
Claiborne,29631
Clarke,41495
Clay,38121
Coahoma,29380
Copiah,38664
Covington,36083
DeSoto,68126
Forrest,39061
Franklin,39508
George,47246
Greene,42022
Grenada,39633
Hancock,49843
Harrison,45355
Hinds,44776
Holmes,26449
Humphreys,28542
Issaquena,26936
Itawamba,45720
Jackson,51771
Jasper,36987
Jefferson,28024
Jefferson Davis,31739
Jones,42435
Kemper,33437
Lafayette,49381
Lamar,58377
Lauderdale,40077
Lawrence,40510
Leake,37212
Lee,51088
Leflore,29244
Lincoln,43478
Lowndes,44348
Madison,75740
Marion,36408
Marshall,40285
Monroe,44681
Montgomery,36311
Neshoba,36236
Newton,40792
Noxubee,32167
Oktibbeha,39130
Panola,39198
Pearl River,45268
Perry,39687
Pike,33983
Pontotoc,44297
Prentiss,41281
Quitman,27767
Rankin,66296
Scott,38034
Sharkey,28887
Simpson,38173
Smith,46764
Stone,44622
Sunflower,31329
Tallahatchie,32692
Tate,48082
Tippah,39833
Tishomingo,41455
Tunica,33143
Union,46600
Walthall,33566
Warren,46049
Washington,33991
Wayne,37401
Webster,43349
Wilkinson,29900
Winston,39498
Yalobusha,39551
Yazoo,33111
Adair,40395
Andrew,57459
Atchison,49122
Audrain,44340
Barry,42457
Barton,41583
Bates,45955
Benton,40025
Bollinger,44233
Boone,55136
Buchanan,52506
Butler,38067
Caldwell,47591
Callaway,53970
Camden,48580
Cape Girardeau,51962
Carroll,47049
Carter,34134
Cass,71374
Cedar,37288
Chariton,48421
Christian,58057
Clark,46832
Clay,68943
Clinton,58641
Cole,62817
Cooper,52513
Crawford,42774
Dade,41381
Dallas,38765
Daviess,51255
DeKalb,48920
Dent,39392
Douglas,36762
Dunklin,37331
Franklin,58738
Gasconade,52282
Gentry,43731
Greene,44799
Grundy,40315
Harrison,40639
Henry,44978
Hickory,35025
Holt,47191
Howard,45767
Howell,36762
Iron,37755
Jackson,55864
Jasper,46596
Jefferson,65150
Johnson,52151
Knox,39309
Laclede,44562
Lafayette,53389
Lawrence,45074
Lewis,48179
Lincoln,62238
Linn,44992
Livingston,48749
McDonald,40204
Macon,45440
Madison,40191
Maries,46371
Marion,49393
Mercer,46014
Miller,47225
Mississippi,34735
Moniteau,57047
Monroe,46216
Montgomery,48951
Morgan,45276
New Madrid,38093
Newton,49220
Nodaway,46698
Oregon,32720
Osage,58855
Ozark,34367
Pemiscot,31831
Perry,53871
Pettis,45254
Phelps,43079
Pike,43591
Platte,82567
Polk,45336
Pulaski,52532
Putnam,40866
Ralls,57549
Randolph,44975
Ray,58693
Reynolds,36592
Ripley,32802
St. Charles,82048
St. Clair,37013
Ste. Genevieve,59043
St. Francois,45584
St. Louis,66992
Saline,43776
Schuyler,39463
Scotland,42053
Scott,44261
Shannon,32715
Shelby,44564
Stoddard,40808
Stone,46026
Sullivan,41978
Taney,40887
Texas,34824
Vernon,42552
Warren,62056
Washington,38591
Wayne,33703
Webster,51141
Worth,43119
Wright,35293
St. Louis City,43263
Beaverhead,47674
Big Horn,40425
Blaine,39237
Broadwater,52840
Carbon,53661
Carter,47985
Cascade,50054
Chouteau,44645
Custer,50525
Daniels,44659
Dawson,56167
Deer Lodge,45641
Fallon,62029
Fergus,49147
Flathead,54382
Gallatin,67569
Garfield,44580
Glacier,37719
Golden Valley,38782
Granite,48410
Hill,50136
Jefferson,68381
Judith Basin,50197
Lake,44833
