County_Name,pct_unemployed
Effingham,3
Elbert,4
Emanuel,5
Evans,3
Fannin,3
Fayette,3
Floyd,4
Forsyth,3
Franklin,3
Fulton,4
Gilmer,4
Glascock,4
Glynn,3
Gordon,3
Grady,3
Greene,4
Gwinnett,3
Habersham,3
Hall,3
Hancock,6
Haralson,3
Harris,3
Hart,3
Heard,3
Henry,4
Houston,3
Irwin,5
Jackson,2
Jasper,3
Jeff Davis,4
Jefferson,5
Jenkins,5
Johnson,3
Jones,3
Lamar,4
Lanier,4
Laurens,4
Lee,3
Liberty,4
Lincoln,4
Long,3
Lowndes,4
Lumpkin,3
McDuffie,5
McIntosh,3
Macon,6
Madison,3
Marion,5
Meriwether,4
Miller,3
Mitchell,5
Monroe,3
Montgomery,5
Morgan,3
Murray,5
Muscogee,5
Newton,4
Oconee,2
Oglethorpe,3
Paulding,3
Peach,5
Pickens,3
Pierce,3
Pike,3
Polk,4
Pulaski,4
Putnam,4
Quitman,5
Rabun,4
Randolph,5
Richmond,5
Rockdale,4
Schley,4
Screven,5
Seminole,5
Spalding,4
Stephens,4
Stewart,4
Sumter,5
Talbot,5
Taliaferro,5
Tattnall,4
Taylor,6
Telfair,6
Terrell,6
Thomas,4
Tift,4
Toombs,5
Towns,5
Treutlen,5
Troup,3
Turner,5
Twiggs,5
Union,3
Upson,4
Walker,3
Walton,3
Ware,3
Warren,4
Washington,5
Wayne,4
Webster,6
Wheeler,7
White,3
Whitfield,4
Wilcox,5
Wilkes,4
Wilkinson,4
Worth,4
Hawaii,2
Honolulu,2
Kalawao,
Kauai,2
Maui,2
Ada,2
Adams,5
Bannock,2
Bear Lake,2
Benewah,4
Bingham,2
Blaine,2
Boise,4
Bonner,4
Bonneville,2
Boundary,4
Butte,3
Camas,2
Canyon,3
Caribou,2
Cassia,2
Clark,2
Clearwater,6
Custer,4
Elmore,3
Franklin,2
Fremont,2
Gem,3
Gooding,2
Idaho,4
Jefferson,2
Jerome,2
Kootenai,3
Latah,2
Lemhi,4
Lewis,5
Lincoln,3
Madison,1
Minidoka,2
Nez Perce,2
Oneida,2
Owyhee,3
Payette,3
Power,2
Shoshone,5
Teton,2
Twin Falls,2
Valley,3
Washington,4
Adams,3
Alexander,7
Bond,4
Boone,5
Brown,2
Bureau,5
Calhoun,5
Carroll,4
Cass,4
Champaign,4
Christian,5
Clark,5
Clay,5
Clinton,3
Coles,4
Cook,4
Crawford,5
Cumberland,4
DeKalb,4
De Witt,5
Douglas,4
DuPage,3
Edgar,4
Edwards,4
Effingham,3
Fayette,5
Ford,4
Franklin,6
Fulton,6
Gallatin,5
Greene,4
Grundy,4
Hamilton,4
Hancock,4
Hardin,7
Henderson,4
Henry,5
Iroquois,4
Jackson,4
Jasper,4
Jefferson,5
Jersey,4
Jo Daviess,4
Johnson,7
Kane,4
Kankakee,5
Kendall,3
Knox,5
Lake,4
LaSalle,5
Lawrence,5
Lee,4
Livingston,4
Logan,4
McDonough,5
McHenry,3
McLean,4
Macon,5
Macoupin,4
Madison,4
Marion,4
Marshall,5
Mason,5
Massac,7
Menard,4
Mercer,5
Monroe,3
Montgomery,5
Morgan,4
Moultrie,3
Ogle,5
Peoria,5
Perry,5
Piatt,4
Pike,4
Pope,6
Pulaski,8
Putnam,5
Randolph,4
Richland,4
Rock Island,5
St. Clair,5
Saline,6
Sangamon,4
Schuyler,4
Scott,5
Shelby,4
Stark,6
Stephenson,4
Tazewell,4
Union,6
Vermilion,6
Wabash,4
