County_Name,homicide_rate
Irwin,
Jackson,2
Jasper,
Jeff Davis,
Jefferson,
Jenkins,
Johnson,
Jones,
Lamar,
Lanier,
Laurens,9
Lee,
Liberty,9
Lincoln,
Long,
Lowndes,6
Lumpkin,
McDuffie,13
McIntosh,
Macon,14
Madison,
Marion,
Meriwether,8
Miller,
Mitchell,8
Monroe,
Montgomery,
Morgan,
Murray,
Muscogee,12
Newton,9
Oconee,
Oglethorpe,
Paulding,3
Peach,
Pickens,
Pierce,7
Pike,
Polk,5
Pulaski,
Putnam,
Quitman,
Rabun,
Randolph,
Richmond,13
Rockdale,6
Schley,
Screven,
Seminole,
Spalding,7
Stephens,6
Stewart,
Sumter,9
Talbot,
Taliaferro,
Tattnall,5
Taylor,
Telfair,
Terrell,
Thomas,
Tift,8
Toombs,8
Towns,
Treutlen,
Troup,9
Turner,
Twiggs,
Union,6
Upson,
Walker,4
Walton,4
Ware,9
Warren,
Washington,8
Wayne,8
Webster,
Wheeler,
White,
Whitfield,2
Wilcox,
Wilkes,
Wilkinson,
Worth,
Hawaii,3
Honolulu,2
Kalawao,
Kauai,
Maui,1
Ada,1
Adams,
Bannock,2
Bear Lake,
Benewah,
Bingham,3
Blaine,
Boise,
Bonner,
Bonneville,1
Boundary,
Butte,
Camas,
Canyon,2
Caribou,
Cassia,
Clark,
Clearwater,
Custer,
Elmore,
Franklin,
Fremont,
Gem,
Gooding,
Idaho,
Jefferson,
Jerome,
Kootenai,2
Latah,
Lemhi,
Lewis,
Lincoln,
Madison,
Minidoka,
Nez Perce,
Oneida,
Owyhee,
Payette,
Power,
Shoshone,
Teton,
Twin Falls,3
Valley,
Washington,
Adams,3
Alexander,
Bond,
Boone,
Brown,
Bureau,
Calhoun,
Carroll,
Cass,
Champaign,3
Christian,
Clark,
Clay,
Clinton,
Coles,2
Cook,12
Crawford,
Cumberland,
DeKalb,1
De Witt,
Douglas,
DuPage,1
Edgar,
Edwards,
Effingham,4
Fayette,
Ford,
Franklin,
Fulton,
Gallatin,
Greene,
Grundy,
Hamilton,
Hancock,
Hardin,
Henderson,
Henry,
Iroquois,
Jackson,
Jasper,
Jefferson,4
Jersey,
Jo Daviess,
Johnson,
Kane,2
Kankakee,7
Kendall,2
Knox,2
Lake,2
LaSalle,1
Lawrence,
Lee,
Livingston,
Logan,
McDonough,
McHenry,1
McLean,2
Macon,5
Macoupin,
Madison,3
Marion,3
Marshall,
Mason,
Massac,
Menard,
Mercer,
Monroe,
Montgomery,
Morgan,
Moultrie,
Ogle,
Peoria,8
Perry,
Piatt,
Pike,
Pope,
Pulaski,
Putnam,
Randolph,5
Richland,
Rock Island,5
St. Clair,14
Saline,
Sangamon,5
Schuyler,
Scott,
Shelby,
Stark,
Stephenson,3
Tazewell,1
Union,
Vermilion,8
Wabash,
Warren,
Washington,
Wayne,
White,
Whiteside,
Will,3
Williamson,2
Winnebago,8
Woodford,
Adams,
Allen,9
Bartholomew,2
Benton,
Blackford,
Boone,2
Brown,
Carroll,
Cass,
Clark,4
Clay,
Clinton,
Crawford,
Daviess,
Dearborn,
Decatur,
DeKalb,
Delaware,4
Dubois,
Elkhart,4
Fayette,
Floyd,3
Fountain,
Franklin,
Fulton,
Gibson,
Grant,4
Greene,4
