County_Name,ratio_primary_care_provider
Wakulla,6819
Walton,3356
Washington,5226
Appling,3735
Atkinson,2074
Bacon,3215
Baker,1031
Baldwin,2889
Banks,6558
Barrow,7345
Bartow,3670
Ben Hill,3244
Berrien,9145
Bibb,1184
Bleckley,4634
Brantley,15693
Brooks,8299
Bryan,2507
Bulloch,2872
Burke,5618
Butts,6673
Calhoun,8043
Camden,4368
Candler,4505
Carroll,3200
Catoosa,3703
Charlton,4620
Chatham,1736
Chattahoochee,6635
Chattooga,14451
Cherokee,4490
Clarke,2149
Clay,4406
Clayton,7492
Clinch,8943
Cobb,2410
Coffee,2523
Colquitt,3133
Columbia,2612
Cook,5003
Coweta,3155
Crawford,24613
Crisp,1903
Dade,5060
Dawson,2754
Decatur,3887
DeKalb,1804
Dodge,3885
Dooly,15450
Dougherty,1831
Douglas,4679
Early,3179
Echols,166
Effingham,6590
Elbert,6691
Emanuel,3033
Evans,4783
Fannin,3600
Fayette,1528
Floyd,1224
Forsyth,4395
Franklin,5015
Fulton,1495
Gilmer,5341
Glascock,6057
Glynn,2874
Gordon,3305
Grady,4318
Greene,3100
Gwinnett,2921
Habersham,3444
Hall,2527
Hancock,10648
Haralson,5531
Harris,9721
Hart,6128
Heard,8835
Henry,3069
Houston,2797
Irwin,4703
Jackson,3553
Jasper,6303
Jeff Davis,6261
Jefferson,5059
Jenkins,5093
Johnson,3576
Jones,7644
Lamar,4436
Lanier,10340
Laurens,1878
Lee,3334
Liberty,2913
Lincoln,11855
Long,3166
Lowndes,2506
Lumpkin,3916
McDuffie,3300
McIntosh,2868
Macon,14628
Madison,11562
Marion,12626
Meriwether,7221
Miller,3630
Mitchell,5561
Monroe,5035
Montgomery,3064
Morgan,4198
Murray,7014
Muscogee,1472
Newton,5342
Oconee,1725
Oglethorpe,17386
Paulding,8902
Peach,5691
Pickens,3533
Pierce,23250
Pike,10765
Polk,6161
Pulaski,2630
Putnam,4897
Quitman,1140
Rabun,2957
Randolph,5246
Richmond,1474
Rockdale,2592
Schley,1047
Screven,9300
Seminole,4987
Spalding,3016
Stephens,2487
Stewart,3557
Sumter,2168
Talbot,3125
Taliaferro,134
Tattnall,6440
Taylor,1340
Telfair,7172
Terrell,4306
Thomas,1509
Tift,1472
Toombs,1456
Towns,2739
Treutlen,3405
Troup,2980
Turner,9280
Twiggs,12268
Union,1867
Upson,2875
Walker,10372
Walton,5081
Ware,1905
Warren,3518
Washington,3416
Wayne,3727
Webster,108
Wheeler,11892
White,6206
Whitfield,2572
Wilcox,8800
Wilkes,12349
Wilkinson,5998
Worth,5677
Hawaii,3219
Honolulu,2600
Kalawao,7
Kauai,3510
Maui,3178
Ada,1711
Adams,5564
Bannock,2024
Bear Lake,2416
Benewah,2337
Bingham,4279
Blaine,3469
Boise,5554
Bonner,3911
Bonneville,3273
Boundary,4774
Butte,3908
Camas,1172
Canyon,4222
Caribou,5875
Cassia,2438
Clark,71
Clearwater,1950
Custer,535
Elmore,2464
Franklin,6145
Fremont,8754
Gem,3208
Gooding,4110
Idaho,3013
Jefferson,6740
Jerome,6056
Kootenai,2174
Latah,2887
Lemhi,3565
Lewis,3875
Lincoln,7105
Madison,2876
Minidoka,6058
Nez Perce,1907
Oneida,3112
Owyhee,13967
Payette,3107
Power,6389
Shoshone,4649
Teton,3334
Twin Falls,2313
Valley,2508
Washington,3718
Adams,1924
Alexander,8335
Bond,2798
Boone,7737
Brown,8901
Bureau,3512
Calhoun,4818
Carroll,10060
Cass,1533
Champaign,1781
Christian,4879
Clark,5371
Clay,7739
Clinton,4874
Coles,2081
Cook,2296
Crawford,3171
Cumberland,2702
DeKalb,5356
De Witt,5285
Douglas,4789
DuPage,1928
Edgar,3556
Edwards,1598
Effingham,1830
Fayette,9403
Ford,2433
Franklin,4492
Fulton,5026
Gallatin,7609
Greene,5695
Grundy,4376
Hamilton,2956
Hancock,6127
Hardin,2315
Henderson,6709
Henry,6939
Iroquois,4043
Jackson,1289
Jasper,11180
Jefferson,2613
Jersey,4424
Jo Daviess,5720
Johnson,14679
Kane,3855
Kankakee,3625
Kendall,5805
Knox,2860
Lake,2346
LaSalle,4462
Lawrence,7195
Lee,2990
Livingston,3266
Logan,5464
McDonough,3357
McHenry,3947
McLean,3029
Macon,1929
Macoupin,6101
Madison,3484
Marion,3813
Marshall,17497
Mason,6268
Massac,6792
Menard,14737
Mercer,8326
Monroe,4648
Montgomery,2743
Morgan,3958
Moultrie,8578
Ogle,4730
Peoria,1311
Perry,3447
Piatt,3878
Pike,3093
Pope,4212
Pulaski,0
Putnam,11467
Randolph,3600
Richland,4240
Rock Island,3052
St. Clair,2775
Saline,2404
Sangamon,1373
Schuyler,5245
Scott,4926
Shelby,6726
Stark,8148
Stephenson,4092
Tazewell,4436
Union,2149
Vermilion,3083
Wabash,3581
Warren,5291
Washington,5949
Wayne,3841
White,5437
Whiteside,2557
Will,3537
Williamson,1764
Winnebago,2315
Woodford,3859
Adams,4957
Allen,2093
Bartholomew,2817
Benton,4327
Blackford,4097
Boone,1499
Brown,5546
Carroll,7864
Cass,3599
Clark,3467
Clay,4563
Clinton,8969
Crawford,2640
Daviess,3254
Dearborn,6074
Decatur,3192
DeKalb,4201
Delaware,2075
Dubois,2512
Elkhart,3406
Fayette,3431
